Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
D193,L - ??,Lab Supplies,No EXP,5/23/2012,,,,x
D194,L - ??,Lab Supplies,No EXP,5/23/2012,,,,x
D195,L - ??,Lab Supplies,No EXP,5/29/2012,,,,x
D196,L - ??,Specimen Containers x250,No EXP,6/20/2012,,,,x
D197,,Vaginal speculums,no exp,7/3/2012,,,,NO
D198,L - ??,OB Pads; Panty Liners; Nursing Pads,No EXP,7/3/2012,,,,x
D199,,Specimen containers,2/2014,4/16/2012,,,,NO
D200,L - 24.5 lbs.,OB Pads,No EXP,9/13/2012,,,,x
D201,L - 22.0 lbs.,OB Pads,No EXP,9/13/2012,,,,x
D202,L - 29.0 lbs.,Lab Supplies: EZ Nest Sample Cups x5 Bags; Petri Dishes x25; Urine Vacutainers x100; Blood Collection Tubes x300,1/2014,9/13/2012,,,,x
D203,L - 20.0 lbs.,Specimen Collection Supplies,No EXP,10/22/2012,,,,x
D204,L - 20.0 lbs.,Specimen Collection Supplies,No EXP,10/22/2012,,,,x
D205,S - 15.0 lbs.,Biohazard Lab Bags,No EXP,10/22/2012,,,,x
D206,L - 27.0 lbs.,"Vacutainer Blood Collection Needles 21G x 1 1/4""",2/2014,10/22/2012,,,,x
D207,L - 27.0 lbs.,Blood Collection/Vacutainer Supplies,1/2014,10/22/2012,,,,x
D208,S - 10.0 lbs.,Blood Collection Supplies,5/2013,10/23/2012,,,,x
D209,L - 24.0 lbs.,Blood Collection: Needle Holders; Drain Bags; Etc.,earliest 1/2014,11/8/2012,,,,x
D210,L - 14.0 lbs.,Specimen Containers,No EXP,12/3/2012,,,,x
D211,L - 14.0 lbs.,Specimen Containers,No EXP,12/3/2012,,,,x
D212,L - 18.0 lbs.,Lab Collection: Assortment,No EXP,1/4/2013,,,,x
D213,S - 21.0 lbs.,Hemoccult Sensa Slides,exp 4/2014,1/4/2013,,,,x
D214,L - 17.0 lbs.,Blood Collection Supplies,No EXP,1/8/2013,,,,x
D215,L - 15.0 lbs.,Specimen Containers (Sterile & Unsterile),No EXP,1/11/2013,,,,x
D216,L - 25.0 lbs.,Blood Collection/Vacutainer Supplies,earliest 3/2014,1/11/2013,,,,x
D217,L - 17.0 lbs.,Blood Collection Supplies,exp 2/2014,1/11/2013,,,,x
D218,L - 28.0 lbs.,Lab Blood Collection,No EXP,1/11/2013,,,,x
D219,L - 34.0 lbs.,Blood Collection Supplies,2/2014,3/5/2013,,,,x
D220,L - 26.0 lbs.,Lab Supplies: Specimen Cups; Biohazard Bags; Etc.,7/2014,3/5/2013,,,,x
D221,L - 20.0 lbs.,Blood Collection Supplies,11/2014,3/5/2013,,,,x
D222,L - 25.0 lbs.,Vacutainer Supplies,8/2014,4/26/2013,,,,x
D223,L - 18.4 lbs.,Specimen Containers,No EXP,4/26/2013,,,,x
D224,L - 13.4 lbs.,Vacutainer Supplies,8/2014,6/3/2013,,,,x
D224,L - ??,???,,,,,,x
D225,,,,,,,,
D226,,,,,,,,
D227,,,,,,,,
D228,,,,,,,,
D229,,,,,,,,
D230,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
