Box Number,Box Size & Weight,Contents,Exp date,Date entered,Reserved For,Shipped To,Date Shipped,
K489,L 13.5lbs,"Urology mix ( TUR Tubing , 6-urnials, 5 guide wire ,6stone catcher , 11 removel sheath",sterile exp 04/2014,1/3/2013,,,,
K490,L 19.5lbs,"Urinary drainage ( Bags 14 urine meters , regular , 23 leg )",some sterile exp 04/2014,1/3/2013,,,,
K491,L 16.5lbs,"Catheters (11 foley kits , 15 texas ,",sterile exo 10/2014,1/10/2013,,,,
K492,L 21.5lbs,"11 Foley Catheters , 167 Speedie Catheters  ,3 Urimeters Trays",sterile exp 03/2014,1/10/2013,,,,
K493,L 25lbs,"Urinary drainage Bags x 71 , Leg Straps x 63",earliest exp 1/2014,1/27/2013,,,,
K494,L 17.5lbs,Catheter Foley Kits x 18,sterile exp 10/2014,2/5/2013,,,,
K495,L 8.5 lbs,"Urine collection(urinals, toilet hats, 24 hr containers)",no exp,2/6/2013,,,,
K496,L 28 lbs,"dialysis tubing, catheters",1/2014,2/10/2013,,,,
K497,L 17lbs,Urinary Cathethter Tray Kits x 12,earliest 10/2014,3/14/2013,,,,
K498,L - 13.6 lbs.,Urinary Catheter Kits x 18; Texas catheters x 18,10/2014,3/25/2013,,,,
K499,L - 9.0 lbs.,Urine Collection (miscellaneous): Bedpans x 18; urinals x 12,No EXP,3/31/2013,,,,
K500,L 17.8 lbs,"Urinary Kits(13 kits, 13 with urometers",2/2016,4/11/2013,,,,
K501,L 27.5,"Urinary drainage bags(36), urometers(10)",no exp,4/11/2013,,,,
K502,L 18.4,"urology mix, urostomy pouches, TURP tubing, etc.",no exp,4/25/2013,,,,
K503,L 14.8,dialysis supplies,6/2014,5/12/2013,,,,
K504,L 19.8,"foley catheters #298, self catheters #98",9/2014,5/12/2013,,,,
K505,L 19.6,Urinary drainage bags,10/2013,6/2/2013,,,,
K506,L 13.8,Foley Catheter tray kits X 20,8/2014,6/2/2013,,,,
K507,L 19.0,Catheters- Foley&self with adapters and bags,9/2014,7/10/2013,,,,
K508,L 17.8,Urinary catheter trays X 23,3/2015,7/10/2013,,,,
K509,S 7.8,Urostomy pouch supplies,1/2017,7/11/2013,,,,
K510,S 16.0,"Urine collection- 25 bed pans, 10 urinals, 15 trianglular graduated containers",no exp,7/11/2013,,,,
K511,L - 27.0 lbs.,Urinary drainage bags X 64,01/2015,8/6/2013,,,,
K512,L - 9.8 lbs.,Dialysis trays x 14,11/2014,8/6/2013,,,,
K513,L - 14.4 lbs.,Urinary catheter kits x 17,09/2015,8/28/2013,,,,
K514,L - 22.6 lbs.,"Urinary drainage bags x 25, urimeters x 10",01/2017,8/28/2013,,,,
K515,L - 33.0 lbs.,Catheters: Female quick cath kits x 189,09/2014,8/28/2013,,,,
K516,L - 31.8 lbs.,Catheters: Female quick cath kits x 182,03/2015,8/28/2013,,,,
K517,L - 34.2 lbs.,Catheters: Female quick cath kits x 150,05/2015,8/28/2013,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
