Box Number,Boz Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
S307,L - 19 lbs.,121 IV Infusion Sets; 17 Blood Infusion Sets,No EXP,9/28/2012,,,,x
S309,L - 17.75 lbs.,IV Tubing Primary/Secondary: 70 Extension Sets; 140 Port Caps; 130 Lever Lock Cannula,3/2014,10/10/2012,,,,x
S310,L - 19.5 lbs.,140 Infusion Sets & Extension Sets (20 Sterile),7/2014,10/10/2014,,,,x
S311,L - 19.25 lbs.,IV - Assorted,02/2014,10/10/2012,,,,x
S312,L - 19 lbs.,IV Sets: Primary/Secondary x145; Secondary Cannula x80,11/2013,10/10/2012,,,,x
S313,L - 19.5 lbs.,Infusion Sets (Primary & Secondary Extension Sets x160); Port Caps x150,05/2014,10/10/2012,,,,x
S314,L - 16.5 lbs.,Central Venous Catheters: Assorted,11/2013,10/10/2012,,,,x
S315,L - 19.75 lbs.,IV Tubing 2ml. Sets (Sterile),02/2015,10/10/2012,,,,x
S316,S - 13 lbs.,Needle Boxes (Unsterile) x150,No EXP,11/2/2012,,,,x
S317,S - 8 lbs.,Expired Suture (22 boxes),EXPIRED,11/2/2012,,,,x
S318,L - 28 lbs.,Suture (70 boxes; 4 bags),01/2014,11/2/2012,,,,x
S319,S - 13 lbs.,Needle Boxes (Unsterile) x110,No EXP,11/2/2012,,,,x
S320,L - 19 lbs.,Suture Removal Kits,No EXP,11/27/2012,,,,x
S321,L - 28.5 lbs.,Needle Boxes x286,No EXP,2/6/2013,,,,x
S322,S - 10.8 lbs.,Sutures,1/2014,4/1/2013,,,,x
S323,L - 24.2 lbs.,Sutures (Expired),EXPIRED,6/7/2013,,,,x
S324,S - 13.4 lbs.,Needle Boxes (Unsterile),No EXP,7/12/2013,,,,x
S325,S - 12.8 lbs.,Needle Boxes (Unsterile),No EXP,7/12/2013,,,,x
S326,L - 23.6 lbs.,Sutures (expired),No EXP.,8/28/2013,,,,
S327,,,,,,,,
S328,,,,,,,,
S329,,,,,,,,
S330,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
