Box Number,Box Size & Weight,Contents,Exp date,Date entered,Reserved For,Shipped To,Date Shipped,
J428,,13 boxes vinyl gloves (unsterile),No Exp,4/18/2012,,,,
J429,,"Loose gloves 5 boxes small, 13 boxes med., 3 boxes lrg.",4/2014,4/23/2012,,,,
J430,,Gowns (Sterile) x 48,no exp,5/18/2012,,,,
J431,,Exam gloves (non sterile),no exp,5/18/2012,,,,
J432,,Exam gloves (non sterile),no exp,5/18/2012,,,,
J433,,Exam gloves (non sterile),no exp,5/18/2012,,,,
J434,,Exam gloves (non sterile),no exp,5/18/2012,,,,
J435,,Gowns 50 each Unsterile,no exp,5/29/2012,,,,
J436,,Gowns 36 each Unsterile,no exp,5/29/2012,,,,
J437,,gloves small/med unsterile,no exp,5/29/2012,,,,
J438,,gloves small/med unsterile,no exp,5/29/2012,,,,
J439,,Exam gloves (non sterile),no exp,6/20/2012,,,,
J440,,Exam gloves (non sterile),no exp,6/20/2012,,,,
J441,,"Paper gowns unsterile, 33 XL, 10 lrg, 1 sm",no exp,6/20/2012,,,,
J442,,Paper gowns 40 ea.,no exp,6/20/2012,,,,
J443,,Unsterile gowns 50 ea.,no exp,6/20/2012,,,,
J444,,Exam gloves (non sterile) 10 boxes,no exp,6/24/2012,,,,
J445,,Exam gloves (non sterile) 8 boxes,no exp,6/24/2012,,,,
J450,,Paper gowns (sterile),11/2016,7/10/2012,,,,
J451,,Surgical gowns X 30,no exp,8/14/2012,,,,
J452,,"Surgical gowns 35 lrg, 2 xxlrg  17 lbs.",no exp,8/30/2012,,,,
J453,,Surgical gowns X 40,no exp,8/30/2012,,,,
J454,,Surgical gowns X 44 (sterile) 26 lbs.,no exp,8/30/2012,,,,
J455,,Surgical gowns X 40 (sterile) 23 lbs.,no exp,8/30/2012,,,,
J456,,Surgical gowns X 33 (sterile) 16 lbs.,no exp,8/30/2012,,,,
J457,,Surgical sheets X 20 25 lbs.,6/2016,8/30/2012,,,,
J458,,"Surgical gowns (sterile) 28 xxlrg, 19 lrg 18 lbs.",no exp,8/30/2012,,,,
J459,,Surgical sheets X 52 18 lbs.,no exp,8/30/2012,,,,
J460,,Surgical gowns X 36 17 lbs.,1/2017,8/30/2012,,,,
J461,,Surgical gowns (sterile) X 36 18 lbs.,no exp,8/30/2012,,,,
J462,,Surgical gowns X 33 (sterile) 22 lbs.,no exp,8/30/2012,,,,
J463,,Surgical gowns X 40  19 lbs.,no exp,8/30/2012,,,,
J464,,Exam gloves loose unsterile 17 lbs.,no exp,9/13/2012,,,,
J465,,Exam gloves loose unsterile 17 lbs.,no exp.,9/13/2012,,,,
J466,,"Boxed exam gloves (unsterile) sm nitrile @7 gloves, Latex #4 16.5 lbs.",no exp,9/13/2012,,,,
J467,,Gloves unsterile paper x lg x50 lg x2,no exp,/,,,,
J468,,"Gowns (sterile paper)xxx-lg x 1, xx-lg x 8 ,x lg x 13, lg x12",exp 04-2016,/,,,,
J469,,"Gowns unsterile paper xxx-lg x 2 ,x lg x46, lg x 1- 20.5 lbs",no exp,9/13/2012,,,,
J470,,Unsterile paper gowns x 58  -22 lbs,no exp,9/13/2012,,,,
J471,,Unsterile paper gowns x 49 -20 lbs.,no exp,9/13/2012,,,,
J472,,Unsterile paper gowns x lg.x46 -xxx lg. x 3 -lg. x 2 = 9.5 lbs.,no exp,9/13/2012,,,,
J473,,Gowns sterile paper 9 pcs. =18 lbs.,exp  12-2016,9/13/2012,,,,
J474,,Unsterile paper gownsx50 =17lbs.,no exp,9/14/2012,,,,
J475,,Paper gowns unsterile x42 =21lbs.,no exp,9/14/2012,,,,
J476,,Unsterile exam glovesx197 various sizes =17 lbs.,no exp,9/14/2012,,,,
J477,,Unsterile exam glovesx249 various sizes =17 lbs.,no exp,9/14/2012,,,,
J478,,gowns unsterile xl x 42-L x5 impervious x-XL x7=21 lbs.,no exp,9/18/2012,,,,
J479,,Exam gloves boxed unsterile  -size med.(nitirlex8 vinal x4  =16lbs,no exp,9/18/2012,,,,
J480,,Gowns unsterile paper xxx-lgx1-xx-lgx1-x-lg x44-lg- x 8  =19lbs,no exp,9/18/2012,,,,
J481,,Gowns unsterile paper /xx lg x 5 /x-lg x 40/lg x 3 plastic =21.5 lbs,no exp,9/18/2012,,,,
J482,,Unstetile exam gloves various sizes x 258  =18lbs,no exp,,,,,
J483,,Gowns unsterile paper (xxx lg xi) (xx lg x3) (x lg  45) (lg x 3 )  =21 lbs,no exp,9/18/2012,,,,
J484,,boxed unsterile gloves med. x 12= 15lbs,no exp,9/28/2012,,,,
J486,,Boxed unsterile gloves lg x 12 = 16.5lbs,no exp,9/28/2012,,,,
J487,,Gowns unsterile paper H01 =22.5lbs,noexp,9/28/2012,,,,
J488,,Gowns unsterile paper (xlx44) (xxlx1) (lx2)  =18.5lbs,no exp,9/28/2012,,,,
J489,,"Gowns Steriel paper 6 lrg, 12 X-Lrg, 15 XX-Lrg, 1 XXX-Lrg 19 lbs.",4/2014,10/8/2012,Rwanda,,,
J490,,Gowns non sterile X 40 17.5 lbs.,no exp,10/8/2012,,,,
J491,,Gowns non sterile X 46 19.5 lbs.,no exp,10/8/2012,,,,
J492,,"surgical sheets,drapes, cover, sterile X22, 24 lbs.",2/2014,10/8/2012,,,,
J493,,gical sheets drapes@covers (sterile)x27 = 24lbs.,earliest 06/2014,10/10/2012,,,,
J494,,Unsterile paper gowns x75 =20lbs,no exp,10/15/2012,,,,
J495,,Unsterile paper gowns x32 =20lbs,no exp,10/15/2012,,,,
J496 *Dup.*,,Gloves (unsteril loose) sizes 5.5thru 9 =16lbs,no exp,10/17/2012,,,,
J496 *Dup.* (Meant to be J485),,boxed unsterile gloves sm.x 12 = 15lbs,no exp,9/28/2012,,,,
J497,,Gloves (unsterile loose)sizes 6thru 9 =18lbs,no exp,10/17/2012,,,,
J498,?? - 6lbs,"Feeding bags, gravity: Enteral (9); Feeding syringes (50)",No exp,10/30/2012,,,,
J499,?? - 10lbs,"Ostomy supplies: urostomy pouch 1.75"" (90); skin barrier rings 1.75"" (30); ostomy barriers (40); stomhesive (10); stoma powder (1)",Earliest exp: 11/2015,10/30/2012,,,,
J500,?? - 6.5lbs,Enteral Feeding bags & Sets (42),No exp,10/30/2012,,,,
J501,L - 16.5lbs,Kangaroo & Feeding Bags (75); Feeding syringes (25),No exp,11/6/2012,,,,
J502,L - 22lbs,nasograstic tubes,7/2014,11/7/2012,Bongolo Hospital,Bongolo Hospital,3/13/2013,
J503,L - 18lbs,Endoscopy Supplies,4/2014,11/18/2012,,,,
J504,s -8lbs,unsterile plastic gowns -60,none,11/18/2012,,,,
J505,s  7lbs,Feeding @gastroscopy tubes,8/2014,11/26/2012,Bongolo Hospital,Bongolo Hospital,3/13/2013,
J506,L 24lbs,Ostemy Bags + MISC. Supplies,exp 1/2017,12/2/2012,,,,
J507,L 18lbs,"Hollister Ostemy (2.25"",2.50"" 2.75"")",exp 8/2015,12/2/2012,,,,
J508,L 15lbs,88 Kangaroo Pump Feeding Bags non sterile,no exp,12/2/2012,,,,
J509,L 16lbs,kangaroo Pump sets x82,no exp,12/2/2012,,,,
J510,L 19lbs,Gravity FeedingBags,no exp,12/2/2012,,,,
J511,L 24lbs,"Hollister Ostomy supplies 4"" pouches",exp 10/2015,12/13/2012,,,,
J512,L 22lbs,Hollister Ostomy supplies 2.25 Pouches,exp 1/2015,12/13/2012,,,,
J513,L 24lbs,Hollister Ostomy supplies 1.75 Pouches,exp 1/2015,12/13/2012,,,,
J514,L 24lbs,"Hollister Ostomy supplies Stoma adhesive 2.18""@2.75""",exp 8/2016,12/13/2012,,,,
J515,L 25lbs,Hollister Ostomy supplies @ skin barriers,exp 10/2015,12/13/2012,,,,
J516,L 21lbs,Convatec Ostomy Pouches @ stoma adhesive,no exp,12/13/2012,,,,
J517,S 10lbs,Coloplast Flex Ostomy Pouches @ skin barriers,exp 1/2015,12/13/2012,,,,
J518,L 23lbs,Enteral Ross Pump feeding bags,no exp,12/13/2012,,,,
J519,L 24lbs,Enteral Feeding Bags @ Pump Delivery x120,no exp,1/7/2013,,,,
J520,L 19.5lbs,Enteral Feeding Bags @ Pump Delivery x120,no exp,1/7/2013,,,,
J521,L 18.5lbs,Enteral Feeding Bags Gravity Delivery x 93,no exp,1/7/2013,,,,
J522,L 25lbs,110 Kangaroo Feeding Bags 1000 cc with Pump Sets,no exp,1/7/2013,,,,
J523,L 15.5lbs,Kangaroo Feeding Bags Pumpx110,no exp,2/5/2013,,,,
J524,L 19lbs,Fedding/Kangaroo Infinity Pumps x 110,non sterile no exp,2/17/2013,,,,
J525,L 19lbs,Kangaroo Feeding bags X95,no exp,2/17/2013,,,,
J526,L 25 lbs,"Assura, Convatec ostomy supplies",8/2017,3/4/2013,,,,
J527,L 22 lbs,"Hollister ostomy supplies(1 3/4, 2 1/4, 2 3/4, 4)",9/2016,3/4/2013,,,,
J528,L - 18.5 lbs.,Feeding & Kangaroo Bags: 80 pump; 15 gravity; 70 feeding syringes,No EXP,3/25/2013,,,,
J529,L - 22.5 lbs.,Feeding & Kangaroo Bags x 80; feeding syringes x 60; Infinity pump x 1,No EXP,3/25/2013,,,,
J530,L 15 lbs,"anascopes, fecal collectors, rectal tubes",no exp,4/11/2013,,,,
J531,L 26 lbs,enema sets,no exp,4/11/2013,,,,
J532,L 18 lbs,Digicare stool management system,6/2015,4/25/2013,,,,
J533,L 25.5 lbs,"ostomy pouches, Hollister 2 3/4, Convatec, assorted sizes",4/2017,4/25/2013,,,,
J534,L 21 lbs,"Ostomy pouches, skin barrier, Hollister,1 3/4",8/2016,4/25/2013,,,,
J535,L 24 lbs,"Ostomy pouches, skin barrier, Hollister, 2 1/4",9/2016,4/25/2013,,,,
J536,L 18.6,"Kangaroo feeding bags, gravity, #90",no exp,5/12/2013,,,,
J537,L,Kangaroo feeding bags with pump,no exp,5/12/2013,,,,
J538,L 22.6,"1 Enteral life feed pump, 115 pump delivery sets",no exp,6/3/2013,,,,
J539,L 20.2,110 Enteral Infinity Pump sets,no exp,6/3/2013,,,,
J540,L 17.8,Digicare stool management system,12/2016,6/6/2013,,,,
J541,L - 31.2 lbs.,"Feeding Bags: EntraLite enteral pump delivery system - 1200 ml x 153, 500 ml x 15",No EXP,8/28/2013,,,,
J542,L - 27.6 lbs.,"Feeding Bags: EnteraLite Infinity Pump - 500 ml x 130, 1200 ml x 25",No EXP,8/28/2013,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
