Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped,Audit 2013
R271,L - 13 lbs.,Blue Corrugated Tubing (Unsterile),No EXP,2/11/2013,,,,x
R272,L - 19.5.,Anesthesia Mix,5/2015,2/11/2013,,,,x
R273,L - 11.5 lbs.,Anesthesia Breathing Circuits x16,5/2015,2/20/2013,,,,x
R274,L - 13.5 lbs.,Anesthesia Circuits x16; Headrests x2,No EXP,2/27/2013,,,,x
R275,L - 14.5 lbs.,Urinary Drainage x20 (Unsterile),No EXP,2/27/2013,,,,x
R277,L - 26 lbs.,Anesthesia Mix,6/2014,3/5/2013,,,,x
R278,L - 14.0 lbs.,Endotracheal Tubes; LMAs x153; Stylettes x12,12/2015,3/26/2013,,,,x
R279,L - 18.4 lbs.,Anesthesia Mix,No EXP,4/26/2013,,,,x
R280,L - 12.2 lbs.,Anesthesia Masks & Circuits,No EXP,5/13/2013,,,,x
R281,S - 5.6 lbs.,"Endotracheal Tubes, LMAs, & Stylettes x65",No EXP,6/3/2013,,,,x
R282,S - 7.0 lbs.,"Endotracheal Tubes, LMAs, & Stylettes x65",No EXP,6/3/2013,,,,x
R283,L - 17.2 lbs.,"Anesthesia Mix: Headrests; Masks, Arterial Blood Sampling",8/2015,6/3/2013,,,,x
R284,L - 11.4 lbs.,Ventilator Tubing: Blue Corrugated,No EXP,6/12/2013,,,,x
R285,S - 5.2 lbs.,Endotracheal tubes x 62 (6.5 - 7.5),11/2017,8/28/2013,,,,
R286,S - 3.6 lbs.,"Endotracheal tubes: Pediatric x 58, LMAs x 17",01/2016,8/28/2013,,,,
R287,S - 5.8 lbs.,"Endotracheal tubes: Adult x 61, LMAs x 2",02/2017,8/28/2013,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
