Box Number,Box Size & Weight,Contents,Exp. date,Date entered,Reserved For,Shipped To,Date Shipped,
L252,,unsterile drapes,,Clinton,,,,
L253,,DRAPES (UNSTERILE),,Clinton,,,,
L254,,Drapes (Unsterile),94,Clinton,,,,
L255,,Drapes,,Clinton,,,,
L256,,Drapes,30,Clinton,,,,
L257,,Drapes,,Clinton,,,,
L258,,Drapes (unsterile),50,Clinton,,,,
L259,,Drapes,,clinton,,,,
L260,,Drapes,25,Clinton,,,,
L263,,Drapes,28,Clinton,,,,
L264,,Drapes (Unsterile),,Clinton,,,,
L265,,Drapes (Unsterile),,Clinton,,,,
L267,,white paper towels (unsterile),,Clinton,,,,
L268,,"Drapes (unsterile, converters)",,Clinton,,,,
L269,,drapes (unsterile),,Clinton,,,,
L271,,drapes (unsterile),,Clinton,,,,
L272,,drapes (unsterile),,Clinton,,,,
L274,,Drapes (unsterile),,Clinton,,,,
L275,,drapes (unsterile),,Clinton,,,,
L276,,Drapes (unsterile),30,Clinton,,,,
L277,,Drapes (unsterile),,Clinton,,,,
L278,,Large drapes (unsterile),29,Clinton,,,,
L279,,Drapes (unsterile),,Clinton,,,,
L280,,Drapes (unsterile),,Clinton,,,,
L282,,white towels (unsterile),,Clinton,,,,
L296,,plastic table covers (60),,Clinton,,,,
L312,,unsterile converter drapes,,Clinton,,,,
L314,,unsterile drapes,,Clinton,,,,
L343,,40 unsterile drapes,,11/17/2011,,,,
L348,,drapes unsterile,no exp,1/12/2012,,,,
L349,,drapes unsterile,no exp,1/2/2012,,,,
L350,,23 drapes unsterile,no exp,1/12/2012,,,,
L351,,19 large unsterile drapes,no exp,1/12/2012,,,,
L352,,Unsterile drapes,no exp,1/18/2012,,,,
L355,,"Unsterile drapes, butt drapes, body drapes",no exp,1/18/2012,,,,
L361,,Mayo Stand Cover,no exp,1/19/2012,,,,
L362,,Mayo Stand Cover,no exp,1/19/2012,,,,
L364,,27 Unsterile drapes,no exp,2/13/2012,,,,
L365,,26 drapes UNSTERILE,No exp,2/22/2012,,,,
L366,,White towels,No exp,2/22/2012,,,,
L367,,Unsterile drapes,No exp,2/22/2012,,,,
L368,,Unsterile drapes 31 ea.,No exp,2/27/2012,,,,
L369,,Stockinettes,No exp,2/27/2012,,,,
L370,,Unsterile drapes 83 ea.,No exp,2/27/2012,,,,
L371,,Mayo stand covers 85,No exp,2/28/2012,,,,
L372,,Mayo stand covers 93,No exp,2/28/2012,,,,
L374,,Mayo stand covers 90,No exp,2/28/2012,,,,
L375,,Drapes ( Unsterile ),No exp,3/7/2012,,,,
L376,,Unsterile paper drapes,No exp,3/12/2012,,,,
L377,,unsteril paper drapesx31,No exp,3/23/2012,,,,
L378,,"12 basic pack 1, 101 absorbant towels",10/2016,4/11/2012,,,,
L379,,Drapes 34 ea. (unsterile),No exp,4/17/2012,,,,
L380,,Drapes 55 ea. (unsterile),No exp,4/17/2012,,,,
L381,,White towels (unsterile),no exp,4/23/2012,,,,
L383,,Drapes Unsterile,no exp,5/29/2012,,,,
L385,,unsterile drapes 22 ea.,no exp,6/20/2012,,,,
L386,,Drapes Unsterile,no exp,8/13/2012,,,,
L387,,Drapes Unsterile X30,no exp,8/30/2012,,,,
L388,,Drapes unsterile x 28  -26 lbs.,no exp,9/13/2012,,,,
L389,,Impervious stockinettes  x 83  19.5 lbs,no exp,9/13/2012,,,,
L390,,Drapes unsterile x 32 -32.5 lbs,no exp,9/13/2012,,,,
L391,,Unsterile paper drapes x 22 =28 lbs.,no exp,9/13/2012,,,,
L392,,unsterile  paper drapes x 22=28 lbs.,no exp,9/13/2012,,,,
L393,,Unsterile paper drapes x22 =26.5 lbs,n0 exp,9/13/2012,,,,
L394,,Unsterile drapes x 50 =29 lbs.,no exp,9/14/2012,,,,
L395,,Unsterile drapes x 48 =28.5 lbs,no exp,9/14/2012,,,,
L396,,Drapes unsterile x 32 =26 lbs,no exp,9/18/2012,,,,
L397,,Drapes unsterile x48  =23lbs,no exp,9/18/2012,,,,
L398,,Drapes unsterile x30= 28lbs,no exp,9/18/2012,,,,
L399,,Drapes unsterile x 30 =26 lbs,no exp,9/18/2012,,,,
L400,,Drapes unsterile=27 lbs,no exp,9/18/2012,,,,
L401,,Drapes unsterile x26  =25.5lbs,no exp,9/18/2012,,,,
L402,,Sterile towels x 235 =14.5lbs,7/2016,9/28/2012,,,,
L403,,Sterile towels x235 =15lbs,7/2016,9/28/2012,,,,
L404,,Sterile towels x190 =12.5 lbs,12/2016,9/28/2012,,,,
L405,,Mayo stand covers unsterile x 110 =21.5lbs,no exp,9/28/2012,,,,
L406,,Drapes (unsterile) 28.5 lbs.,no exp,10/5/2012,,,,
L407,,pes lg.(unsterile)x32=28lbs.,no exp,10/10/2012,,,,
L408,,Drapes lg. (unsterile)x36 =36lbs.,no exp,10/10/2012,,,,
L409,,Mayo stand covers(sterile) x63 =12lbs,no exp,10/12/2012,,,,
L410,,Towels covers sterile x 260 = 16lbs,no exp,10/12/2012,,,,
L411,,Moyo stand covers (unsterile)x110 = 21lbs,no exp,10/12/2012,,,,
L412,,Unsterile paper drapes = 27lbs,no exp,10/15/2012,,,,
L413,,Unsterile paper drapes = 23lbs,noexp,10/15/2012,,,,
L414,,O-R drapes x23 un sterile 23.5lbs,no exp,10/18/2012,,,,
L415,?? - 17.5lbs,250 Suction Caths.,earliest 12/2016,10/23/2012,,,,
L416,?? - 23lbs,8 Chest drains / 2 chest drain tube paks,10/2016,10/23/2012,,,,
L417,?? - 28lbs,54 Suction tubing / Suction canisters,no exp,10/23/2012,,,,
L418,?? - 25.5lbs,Bulb Syringes non sterile,no exp,10/23/2012,,,,
L419,?? - 15.5lbs,Suction catheters (215),No exp,10/30/2012,,,,
L420,S - 18lbs,Suction tubing (nonsterile),No exp,11/1/2012,,,,
L421,S - 13lbs,Suction tubing (30) (nonsterile),No exp,11/1/2012,,,,
L422,L - 19lbs,Drains: jackson-pratt (131); bulb holders (16),02/2015,11/1/2012,,,,
L423,L - 23lbs,Chest Drains,12/2013,11/7/2012,Bongolo Hospital,Bongolo Hospital,3/13/2013,
L424,L - 16lbs,Suction Catheters,5/2016,11/7/2012,,,,
L425,L - 9.5lbs,Pedeatric suction 8fr 250,no exp,11/18/2012,,,,
L426,L - 9.5lbs,Catheter suction pedatric 8fr 250,no exp,11/18/2012,,,,
L427,L  16lbs,47 Suction canisters @lids,no exp,11/19/2012,,,,
L428,L  22lbs,35 Suction canisters & suction tubing,non sterile no exp,11/19/2012,Bongolo Hospital,Bongolo Hospital,3/13/2013,
L429,L 20lbs,"JP DRAINS 76 bulbs, 76 round, 8 resevoirs",6/2014 STERILE,11/19/2012,,,,
L430,sm. 9lbs,Yan Kaur @ Frazier tips,10/2014,11/25/2012,,,,
L431,L 13lbs,Suction Catheters  8ft.10ft. 14ft.,non sterile  no exp,11/26/2012,,,,
L432,L  18lbs,90 Bulb Syringes,non sterile  no exp,11/26/2012,,,,
L433,L 16.5lbs,Suction Catheters,non sterile no exp,12/2/2012,,,,
L434,L 14lbs,Suction Catheters,no exp,12/2/2012,,,,
L435,L 15lbs,10 Suction Catheter Tubing non sterile,no exp,12/2/2012,,,,
L436,l 15Lbs,"Suction (105 mini trays , 100 catheters) non sterile",no exp,12/5/2012,,,,
L437,L 14.5lbs,Suction Canisters x 38,no exp,12/13/2012,,,,
L438,L 14.5lbs,Suction catheters,some sterile exp 08/2016,1/4/ 2013,,,,
L439,L 35lbs,"80 suction tubing , 70 connectors",non sterile no exp,1/3/2013,,,,
L440,L 19.5lbs,"Chest Drains ( 4 pediatric ,2 chest tube trays ,5 SFP patient tube pak  pneumothormax kit",earliest exp 4/2014,1/10/2013,,,,
L441,L 14lbs,Suction Catheters ( 346 - 8ft. pediatric) ( suction catheters 61- 8 ft. @ N glove kits,No exp,1/10/2013,,,,
L442,L 17.5LBS,Suction Catheter trays,no exp,1/10/2013,,,,
L443,L 28lbs,"7 Chest Drains , 29 Tube Pack",no exp,1/15/2013,,,,
L444,L 16lbs,33 Lg. Burn Dressing 4x4,earliest exp  01/2014,1/15/2013,,,,
L445,L 24.5lbs,Chest Drainage,exp 01/2015,1/15/2013,,,,
L446,L 30lbs,"89 Suction Tubing , Connectors x 25",unsterile no exp,1/17/2013,,,,
L447,L 15lbs,Suction Catheters,non sterile no exp,1/17/2013,,,,
L448,L 25lbs,"Suction Tubing x 57 , Connectors x 200",un sterile exp 09 /2016,1/27/2013,,,,
L449,L 27.5lbs,Suction Tubing Connectors x 60,exp 07/2017,2/5/2013,,,,
L450,L 13.5 lbs.,OR floor suction,no exp,2/6/2013,,,,
L451,L 6 lbs.,Suction Canisters x 38,no exp,2/6/2013,,,,
L452,L - 14 lbs.,Suction Catheters (sterile),No EXP,3/25/2013,,,,
L453,L - 26 lbs.,Chest Drains x 38; chest tube tray x 3,1/2015,3/25/2013,,,,
L454,L - 29.5 lbs.,Suction tubing x 77,No EXP,3/31/2013,,,,
L455,L 25.8,bulb syringes,no exp,5/12/2013,,,,
L456,L 22.4,"chest tube trays, drainage tubing",1/2015,5/12/2013,,,,
L457,L 22.4,"chest drains, kits",12/2015,5/12/2013,,,,
L458,L 15.8,"chest drains, tubing",6/2014,5/12/2013,,,,
L459,L 16.0,Catheters-suction all sizes,no exp,6/2/2013,,,,
L460,S 1..8,"Yankauer, frazier suction tips (sterile/unsterile)",12/2017,6/6/2013,,,,
L461,L 14.4,Suction Catheters,no exp,6/11/2013,,,,
L462,L 22.8,"Chest drains X7, chest tubes X5, chest tube valves X 9",7/2014,7/10/2013,,,,
L463,L 20.4,"Chest drains X 6, chest drainage kits X 2",1/2016,7/10/2013,,,,
L464,L - 19.6 lbs.,Suction Catheter kits,No EXP,8/6/2013,,,,
L465,L - 23.4 lbs.,"Chest Drains: 7 water seal drains, 1 chest tube tray, 1 Thoracentesis tray, 4 chest drain tubing",05/2016,8/11/2013,,,,
L466,L - 22.3 lbs.,Chest Drains: 8 pediatric water seal dry suction,12/2016,8/11/2013,,,,
L467,L - 32.2 lbs.,Suction tubing (unsterile),No EXP,8/28/2013,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
