O,Insulin Syringes
O,Syringes - 1-3cc (Sterile)
O,Syringes - 10cc (Sterile)
O,Syringes - 20-60cc (Sterile)
O,Syringes - 5cc (Sterile)
O,Oral Dosing Syringes
P,Port Access Needles
P,Angio-Catheters
P,Butterfly Catheters
P,Needles
P,Spinal Needles
O,Syringes-All Sizes (Unsterile)
Q,Central Line & Swan Ganz Kits
Q,Central Line Supplies
Q,IV Mix
Q,IV Starter Kits
Q,IV Tubing
R,Anesthesia Masks/Circuits
R,Anesthesia Mix
R,Endotracheal Tubes/LMAs/ Stylettes
R,Esmark for Tourniquets
R,Tourniquet Cuffs
R,Ventilator Tubing
S,Needle Box
T,Skin Staplers (Sterile)
T,Skin Staplers (Unsterile)
S,Suture/Staple Removal
S,Sutures (Expired)
S,Sutures (Unexpired)
T,Cautery Supplies
T,Laceration Kits
U,Surgical Drapes (Sterile)
U,Surgical Packs (Sterile)
W,Misc. OR Supplies (Sterile)
W,OR Suction Supplies (Sterile)
T,Skin Markers
U,Surgical Sheets (Sterile)
U,Autoclave Wraps
U,Mayo Stand Covers (Unsterile)
U,Sheets (Unsterile<CMA> Paper)
U,Sheets (Unsterile<CMA> Plastic)
U,Under Buttocks Drapes
U,Drapes (Unsterile<CMA> Large)
U,Drapes (Unsterile<CMA> Small)
U,Quarter Drapes
U,Tail Drapes
V,Lap Sponges (Sterile)
V,Lap Sponges (Unsterile)
V,Raytex (Sterile)
V,Raytex (Unsterile)
V,Towels (Unsterile<CMA> Cloth)
V,Towels (Unsterile<CMA> Paper)
W,Foam Sponges
W,Impervious Stockinettes (Unsterile)
W,Magnetic Instrument Pads
W,Scrub Brushes
W,Skin Prep
P,Biopsy Kits
W,Mesh Mix
W,Neurology Mix
W,Steri-Drapes/Ioban
W,Sterilization Pouches
W,Surgical Patties/Tonsil Sponges
X,Other Plastics
X,Pill Bottles
X,Plastic Trays
Z,Cautery Sticks
Z,Tourniquets
-----
-----
A,A32,L,None,old,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,Drapers,1970-01-01 00:00:00+00:00,1,,
A,A33,S,None,old,1970-01-01 00:00:00+00:00,2012-04-01 00:00:00+00:00,Endoscopy,1970-01-01 00:00:00+00:00,1,,
A,A40,L,None,old,2012-01-18 00:00:00+00:00,1970-01-01 00:00:00+00:00,Autoscopy Kit,1970-01-01 00:00:00+00:00,1,,
A,A45,L,None,old,2012-03-23 00:00:00+00:00,2015-01-01 00:00:00+00:00,Dental Mix,1970-01-01 00:00:00+00:00,1,,
A,A46,S,None,old,2012-05-23 00:00:00+00:00,1970-01-01 00:00:00+00:00,Dental Exam Capes,1970-01-01 00:00:00+00:00,1,,
A,A47,S,None,old,2012-05-23 00:00:00+00:00,1970-01-01 00:00:00+00:00,Dental Exam Capes,1970-01-01 00:00:00+00:00,1,,
A,A48,L,19.00,old,2012-10-21 00:00:00+00:00,2014-06-01 00:00:00+00:00,OB Supplies,1970-01-01 00:00:00+00:00,1,,
A,A48,L,None,old,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,??,1970-01-01 00:00:00+00:00,1,,
A,A49,L,23.00,old,2012-10-21 00:00:00+00:00,2014-01-01 00:00:00+00:00,OB/GYN Supplies,1970-01-01 00:00:00+00:00,1,,
A,A50,L,22.50,old,2012-10-24 00:00:00+00:00,2016-06-01 00:00:00+00:00,Pediatric Chest Drains,1970-01-01 00:00:00+00:00,1,,
A,A51,S,7.00,old,2012-10-25 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Multivent Oxygen Masks,1970-01-01 00:00:00+00:00,1,,
A,A54,L,17.00,old,2012-10-31 00:00:00+00:00,2014-02-01 00:00:00+00:00,Pediatric Respiratory Supplies: Breathing Circuits (14); O2 Masks (45); Suction Catheters; Tracheostomy Tubes,1970-01-01 00:00:00+00:00,1,,
A,A55,L,20.00,old,2012-10-31 00:00:00+00:00,2014-02-01 00:00:00+00:00,Pediatric Supplies: Umbilical Clamps; Tape Measures; Nipples; Feeding Bottles; Electrodes (6 Bags),1970-01-01 00:00:00+00:00,1,,
A,A56,S,6.00,old,2012-10-31 00:00:00+00:00,2016-03-01 00:00:00+00:00,OB/GYN: Sterile Swabs,1970-01-01 00:00:00+00:00,1,,
A,A57,S,6.50,old,2012-10-31 00:00:00+00:00,2016-11-01 00:00:00+00:00,OB/GYN: Sterile Swabs,1970-01-01 00:00:00+00:00,1,,
A,A58,S,8.00,old,2012-10-31 00:00:00+00:00,2016-08-01 00:00:00+00:00,OB/GYN: Sterile Swabs (~2000),1970-01-01 00:00:00+00:00,1,,
A,A59,S,7.00,old,2012-10-31 00:00:00+00:00,2016-01-01 00:00:00+00:00,OB/GYN: Sterile Swabs (~1800),1970-01-01 00:00:00+00:00,1,,
A,A60,S,9.50,old,2012-11-02 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Nebulizers: 23 Neb-U-Mask Systems,1970-01-01 00:00:00+00:00,1,,
A,A61,S,5.50,old,2012-11-02 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Nebulizers w/ Mask (45),1970-01-01 00:00:00+00:00,1,,
A,A62,L,19.00,old,2012-11-19 00:00:00+00:00,2014-05-01 00:00:00+00:00,GYN Mix,1970-01-01 00:00:00+00:00,1,,
A,A62,S,5.50,old,2012-11-19 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Nebulizer w/ Masks,1970-01-01 00:00:00+00:00,1,,
A,A63,L,17.00,old,2012-11-19 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Diapers (Preemie & Small),1970-01-01 00:00:00+00:00,1,,
A,A64,L,16.50,old,2012-11-26 00:00:00+00:00,1970-01-01 00:00:00+00:00,23 Pediatric Breathing Circuits,1970-01-01 00:00:00+00:00,1,,
A,A66,L,23.00,old,2012-12-03 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Mix,1970-01-01 00:00:00+00:00,1,,
A,A67,S,7.00,old,2012-12-06 00:00:00+00:00,1970-01-01 00:00:00+00:00,46 Plastic Vaginal Speculums,1970-01-01 00:00:00+00:00,1,,
A,A68,L,14.00,old,2012-12-14 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Diapers: Preemie Size 1,1970-01-01 00:00:00+00:00,1,,
A,A69,L,22.00,old,2012-12-14 00:00:00+00:00,2015-12-01 00:00:00+00:00,Pediatric Supplies: Trays; OR Shoes; Endotracheal Tubes; etc.,1970-01-01 00:00:00+00:00,1,,
A,A70,L,29.00,old,2013-01-04 00:00:00+00:00,1970-01-01 00:00:00+00:00,Diapers: Preemie & Pediatric,1970-01-01 00:00:00+00:00,1,,
A,A71,L,22.00,old,2013-01-08 00:00:00+00:00,2014-02-01 00:00:00+00:00,Pediatric Supplies: Trach. Tubes; Feeders; Post-Op Bots; Slings; etc.,1970-01-01 00:00:00+00:00,1,,
A,A72,L,23.00,old,2013-01-08 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pedatrics Supplies: 100 Electrodes; 50 O2 Probes; 25 Feeding Syringes; etc.,1970-01-01 00:00:00+00:00,1,,
A,A73,L,18.00,old,2013-01-28 00:00:00+00:00,2015-05-01 00:00:00+00:00,OB/Gyn Mix: Umbilical clamps; Cord Blood Collection,1970-01-01 00:00:00+00:00,1,,
A,A74,L,22.40,old,2013-01-28 00:00:00+00:00,1970-01-01 00:00:00+00:00,OB Pads (Incontinence & Postpartum) ~300; 1 Bag Misc. Pads,1970-01-01 00:00:00+00:00,1,,
A,A75,L,15.50,old,2013-01-28 00:00:00+00:00,2014-09-01 00:00:00+00:00,Pediatric Supplies: Trach Trays; Holders; Masks,1970-01-01 00:00:00+00:00,1,,
A,A76,L,22.00,old,2013-01-28 00:00:00+00:00,2015-08-01 00:00:00+00:00,Pediatric Supplies: Chest Drains; Circumsion Kits; Respiratory Mix,1970-01-01 00:00:00+00:00,1,,
A,A77,L,26.00,old,2013-02-06 00:00:00+00:00,1970-01-01 00:00:00+00:00,OB Pads for Incontinence ~390,1970-01-01 00:00:00+00:00,1,,
A,A78,L,19.00,old,2013-02-07 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Diapers,1970-01-01 00:00:00+00:00,1,,
A,A79,L,16.00,old,2013-03-05 00:00:00+00:00,1970-01-01 00:00:00+00:00,OB Speculums x94,1970-01-01 00:00:00+00:00,1,,
A,A80,L,12.00,old,2013-03-05 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Urine Collectors<CMA> Diapers,1970-01-01 00:00:00+00:00,1,,
A,A81,L,18.00,old,2013-03-15 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatic Supplies: Respiratory; Cardiac; IV,1970-01-01 00:00:00+00:00,1,,
A,A82,L,17.00,old,2013-03-05 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Supplies: Blood Collection; Feeding Bottles,1970-01-01 00:00:00+00:00,1,,
A,A83,S,8.50,old,2013-03-15 00:00:00+00:00,2016-11-01 00:00:00+00:00,OB/GYN Mix: Vaginal Swabs,1970-01-01 00:00:00+00:00,1,,
A,A84,S,7.00,old,2013-04-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,Vaginal Speculums (Disposable): Med. x35; Lg. x15,1970-01-01 00:00:00+00:00,1,,
A,A85,L,23.00,old,2013-04-26 00:00:00+00:00,1970-01-01 00:00:00+00:00,100 Pediatric O2 Masks w/ Tubing,1970-01-01 00:00:00+00:00,1,,
A,A86,L,27.00,old,2013-04-26 00:00:00+00:00,1970-01-01 00:00:00+00:00,Nebulizers: 100 Pediatric Sets,1970-01-01 00:00:00+00:00,1,,
A,A87,S,17.00,old,2013-04-26 00:00:00+00:00,1970-01-01 00:00:00+00:00,Vaginal Speculums: 40 Metal; 15 Disposable,1970-01-01 00:00:00+00:00,1,,
A,A88,L,14.40,old,2013-05-13 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Suction Catheters,1970-01-01 00:00:00+00:00,1,,
A,A89,L,22.40,old,2013-06-03 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Supplies: Circumsion Trays; ET Tubes; LMAs; Masks; Colostomy Supplies,1970-01-01 00:00:00+00:00,1,,
A,A90,L,15.60,old,2013-06-03 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Supplies,1970-01-01 00:00:00+00:00,1,,
A,A91,L,17.00,old,2013-07-11 00:00:00+00:00,2016-05-01 00:00:00+00:00,Pediatric Supplies: Bottles; Nipples; Breast Milk Containers; Dosing Syringes,1970-01-01 00:00:00+00:00,1,,
A,A92,L,28.00,old,2013-07-11 00:00:00+00:00,2016-10-01 00:00:00+00:00,Pediatric Supplies: Respiratory; ID Bands; Urinary; Feeding Tubes,1970-01-01 00:00:00+00:00,1,,
A,A93,L,15.60,old,2013-07-11 00:00:00+00:00,2015-01-01 00:00:00+00:00,Pediatric Cardiac Surgical Pack Parts A & B (Sterile),1970-01-01 00:00:00+00:00,1,,
A,A94,L,20.00,old,2013-08-07 00:00:00+00:00,1970-01-01 00:00:00+00:00,Pediatric Diapers,1970-01-01 00:00:00+00:00,1,,
A,A95,L,30.20,old,2013-08-07 00:00:00+00:00,2015-08-01 00:00:00+00:00,OB/GYN Mix,1970-01-01 00:00:00+00:00,1,,
A,A96,L,10.60,old,2013-08-07 00:00:00+00:00,2017-10-01 00:00:00+00:00,OB/GYN: Disposable Briefs; VP III Swabs,1970-01-01 00:00:00+00:00,1,,
A,A97,L,20.80,old,2013-08-07 00:00:00+00:00,1970-01-01 00:00:00+00:00,Vaginal Speculums (Disposable),1970-01-01 00:00:00+00:00,1,,
A,A98,S,19.20,old,2013-08-07 00:00:00+00:00,1970-01-01 00:00:00+00:00,Vaginal Speculums (Metal),1970-01-01 00:00:00+00:00,1,,
B,B4,U,None,old,1970-01-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,Feeding Bags,1970-01-01 00:00:00+00:00,1,,
B,B188,U,None,old,2011-10-19 00:00:00+00:00,1970-01-01 00:00:00+00:00,100 Kangaroo Feeding Bags,1970-01-01 00:00:00+00:00,1,,
B,B189,U,None,old,2011-11-03 00:00:00+00:00,1970-01-01 00:00:00+00:00,110 Kangaroo Feeding Bags,1970-01-01 00:00:00+00:00,1,,
B,B190,U,None,old,2011-11-03 00:00:00+00:00,2013-01-01 00:00:00+00:00,Pediatric Nutrition Bags x84,1970-01-01 00:00:00+00:00,1,,
B,B191,U,None,old,2011-11-03 00:00:00+00:00,1970-01-01 00:00:00+00:00,Ostomy (Convatec),1970-01-01 00:00:00+00:00,1,,
B,B192,U,None,old,2011-11-03 00:00:00+00:00,2014-01-01 00:00:00+00:00,Ostomy: Convatec 13/4" Pouches & Seals,1970-01-01 00:00:00+00:00,1,,
B,B193,U,None,old,2011-11-03 00:00:00+00:00,1970-01-01 00:00:00+00:00,Ostomy: Flex Seal & Hollister,1970-01-01 00:00:00+00:00,1,,
B,B194,U,None,old,2011-11-02 00:00:00+00:00,2013-12-01 00:00:00+00:00,Enema Anascopes,1970-01-01 00:00:00+00:00,1,,
B,B195,U,None,old,2011-12-13 00:00:00+00:00,1970-01-01 00:00:00+00:00,Kangaroo Feeding Pump (Use w/ Box of Pump Bags),1970-01-01 00:00:00+00:00,1,,
B,B196,U,None,old,2011-12-13 00:00:00+00:00,1970-01-01 00:00:00+00:00,Kangaroo Feeding Pump Bags,1970-01-01 00:00:00+00:00,1,,
B,B197,U,None,old,2011-12-22 00:00:00+00:00,1970-01-01 00:00:00+00:00,35 Kangaroo Pump Bags (Must Use w/ Machine),1970-01-01 00:00:00+00:00,1,,
B,B198,U,None,old,2012-01-12 00:00:00+00:00,1970-01-01 00:00:00+00:00,80 Kangaroo Feeding Bags,1970-01-01 00:00:00+00:00,1,,
B,B200,U,None,old,2012-01-18 00:00:00+00:00,2014-03-01 00:00:00+00:00,110 Kangaroo Bags (Pump Set),1970-01-01 00:00:00+00:00,1,,
B,B201,U,None,old,2012-02-13 00:00:00+00:00,1970-01-01 00:00:00+00:00,110 Unsterile Gravity & Pump Feeding Tubes/Bags<CMA> External Lite Kangaroo,1970-01-01 00:00:00+00:00,1,,
B,B202,U,None,old,2012-02-20 00:00:00+00:00,1970-01-01 00:00:00+00:00,Genairex Ostomy Pouches<CMA> Skin Barrier 1-3/4",1970-01-01 00:00:00+00:00,1,,
B,B203,U,None,old,2012-02-20 00:00:00+00:00,2014-01-01 00:00:00+00:00,Hollister & Assura Ostomy Supply,1970-01-01 00:00:00+00:00,1,,
B,B204,U,None,old,2012-02-20 00:00:00+00:00,1970-01-01 00:00:00+00:00,Hollister & Assura Ostomy Supply & Skin Barrier,1970-01-01 00:00:00+00:00,1,,
B,B205,U,None,old,2012-02-20 00:00:00+00:00,1970-01-01 00:00:00+00:00,Hollister & Assura Ostomy Supply & Skin Barrier (Assorted Sizes),1970-01-01 00:00:00+00:00,1,,
B,B208,U,None,old,2012-02-20 00:00:00+00:00,1970-01-01 00:00:00+00:00,60 Feeding Central Bags (Gravity),1970-01-01 00:00:00+00:00,1,,
B,B209,U,None,old,2012-03-01 00:00:00+00:00,1970-01-01 00:00:00+00:00,98 Kangaroo Tube Feeding Bags,1970-01-01 00:00:00+00:00,1,,
B,B211,U,None,old,2012-04-12 00:00:00+00:00,1970-01-01 00:00:00+00:00,Enteral Feeding 60cc. Syringe,1970-01-01 00:00:00+00:00,1,,
B,B212,U,None,old,2012-04-17 00:00:00+00:00,1970-01-01 00:00:00+00:00,Enteral Pumps,1970-01-01 00:00:00+00:00,1,,
B,B213,U,None,old,2012-05-18 00:00:00+00:00,2014-01-01 00:00:00+00:00,Colonoscopy Supplies,1970-01-01 00:00:00+00:00,1,,
B,B214,U,None,old,2012-05-23 00:00:00+00:00,1970-01-01 00:00:00+00:00,70 Kangaroo Bags<CMA> 30 Feeding Bags,1970-01-01 00:00:00+00:00,1,,
B,B215,U,None,old,2012-05-23 00:00:00+00:00,1970-01-01 00:00:00+00:00,Enteral Feeding Adult<CMA> Button Feeding Peds.,1970-01-01 00:00:00+00:00,1,,
B,B217,U,None,old,2012-05-23 00:00:00+00:00,2014-03-01 00:00:00+00:00,Colostomy Supplies,1970-01-01 00:00:00+00:00,1,,
B,B220,U,None,old,2012-06-20 00:00:00+00:00,1970-01-01 00:00:00+00:00,Enteral Irrigation Sets,1970-01-01 00:00:00+00:00,1,,
B,B221,U,None,old,2012-07-03 00:00:00+00:00,1970-01-01 00:00:00+00:00,Kangaroo Bags x100,1970-01-01 00:00:00+00:00,1,,
B,B223,U,23.00,old,2012-10-05 00:00:00+00:00,2013-07-01 00:00:00+00:00,Ostomy Supplies,1970-01-01 00:00:00+00:00,1,,
B,B224,U,24.50,old,2012-10-05 00:00:00+00:00,1970-01-01 00:00:00+00:00,Ostomy Drainage Bags<CMA> Skin Barrier Cream,1970-01-01 00:00:00+00:00,1,,
B,B225,U,16.00,old,2012-10-10 00:00:00+00:00,2014-05-01 00:00:00+00:00,Personal Cleansing Cloths x40 pkgs.,1970-01-01 00:00:00+00:00,1,,
B,B226,U,7.00,old,2012-10-10 00:00:00+00:00,1970-01-01 00:00:00+00:00,Urostomy Bags x8 boxes; 1 box Fecal Collector,1970-01-01 00:00:00+00:00,1,,
B,B227,U,7.00,old,2012-10-10 00:00:00+00:00,1970-01-01 00:00:00+00:00,Hollister Ostomy: Assorted Pouches & Stoma Adhesive,1970-01-01 00:00:00+00:00,1,,
B,B229,U,None,old,2012-10-10 00:00:00+00:00,1970-01-01 00:00:00+00:00,Covatec Assorted Ostomy Pouches & Stoma Adhesive,1970-01-01 00:00:00+00:00,1,,
B,B230,U,9.00,old,2012-10-10 00:00:00+00:00,2014-05-01 00:00:00+00:00,Covatec Assorted Ostomy Pouches & Stoma Adhesive x40 pkgs.,1970-01-01 00:00:00+00:00,1,,
B,B233,U,16.00,old,2012-10-12 00:00:00+00:00,1970-01-01 00:00:00+00:00,76 Enteral Pump Delivery Sets; 29 Safety Screw Spike Sets; 27 Enteral Feeding Spike Adapter; 4 Cont. Feeding Set (All Unsterile),1970-01-01 00:00:00+00:00,1,,
B,B234,U,20.00,old,2012-10-12 00:00:00+00:00,1970-01-01 00:00:00+00:00,Enteral Pump Delivery Sets x111 (Unsterile),1970-01-01 00:00:00+00:00,1,,
B,B235,U,5.00,old,2012-10-12 00:00:00+00:00,1970-01-01 00:00:00+00:00,Enteral Gravity Feeding Bags x24; Rt. Angle Feeding Sets Y-Port x111; Mickey BDust Extension Sets x16 (Unsterile),1970-01-01 00:00:00+00:00,1,,
B,B236,U,13.00,old,2012-10-18 00:00:00+00:00,2014-07-01 00:00:00+00:00,1000ml. External Gravity Bags x86,1970-01-01 00:00:00+00:00,1,,
B,B237,U,19.50,old,2012-10-21 00:00:00+00:00,1970-01-01 00:00:00+00:00,Underpads Disposable x151,1970-01-01 00:00:00+00:00,1,,
B,B238,U,19.50,old,2012-10-21 00:00:00+00:00,1970-01-01 00:00:00+00:00,Underpads Disposable x400,1970-01-01 00:00:00+00:00,1,,
B,B239,U,22.00,old,2012-10-31 00:00:00+00:00,1970-01-01 00:00:00+00:00,Handicare Liners Extra Absorbent (10x24 Liners),1970-01-01 00:00:00+00:00,1,,
B,B240,S,14.60,old,2012-11-02 00:00:00+00:00,1970-01-01 00:00:00+00:00,Personal Care: Bath Cloths (50); Shampoo Caps (10),1970-01-01 00:00:00+00:00,1,,
B,B241,L,21.00,old,2012-11-02 00:00:00+00:00,1970-01-01 00:00:00+00:00,Adult Diapers,1970-01-01 00:00:00+00:00,1,,
B,B242,L,21.50,old,2012-11-02 00:00:00+00:00,1970-01-01 00:00:00+00:00,Chux Underpads (Disposable),1970-01-01 00:00:00+00:00,1,,
B,B243,L,21.00,old,2012-11-02 00:00:00+00:00,1970-01-01 00:00:00+00:00,Chux Underpads (Disposable),1970-01-01 00:00:00+00:00,1,,
B,B244,L,19.00,old,2012-11-02 00:00:00+00:00,1970-01-01 00:00:00+00:00,Adult Diapers,1970-01-01 00:00:00+00:00,1,,
B,B245,L,24.50,old,2012-11-02 00:00:00+00:00,1970-01-01 00:00:00+00:00,Personal Care: Hipsters (5); Rupture Easer (2); Razors (50); SaniCloth (202); 1 Pillow; 1 Gel; CPR Barriers (3); Abdominal Binders (2),1970-01-01 00:00:00+00:00,1,,
B,B246,L,14.00,old,2012-11-08 00:00:00+00:00,2014-04-01 00:00:00+00:00,Oral Care: Toothettes & Suction Swabs,1970-01-01 00:00:00+00:00,1,,
B,B247,L,16.50,old,2012-11-19 00:00:00+00:00,1970-01-01 00:00:00+00:00,150 Underpads Disposable,1970-01-01 00:00:00+00:00,1,,
B,B248,L,21.00,old,2012-11-19 00:00:00+00:00,1970-01-01 00:00:00+00:00,185 Adult Diapers,1970-01-01 00:00:00+00:00,1,,
B,B249,L,21.50,old,2012-11-19 00:00:00+00:00,1970-01-01 00:00:00+00:00,Disposable Underpads,1970-01-01 00:00:00+00:00,1,,
B,B252,L,15.50,old,2012-11-26 00:00:00+00:00,1970-01-01 00:00:00+00:00,Disposable Underpads,1970-01-01 00:00:00+00:00,1,,
B,B254,L,9.00,old,2012-11-26 00:00:00+00:00,1970-01-01 00:00:00+00:00,5 Pillows,1970-01-01 00:00:00+00:00,1,,
B,B255,L,10.00,old,2012-11-26 00:00:00+00:00,1970-01-01 00:00:00+00:00,4 Pillows; 1 Mattress Pads; 1 Sheet,1970-01-01 00:00:00+00:00,1,,
B,B256,L,8.00,old,2012-11-27 00:00:00+00:00,1970-01-01 00:00:00+00:00,60 Anti-Embolism Stockings,1970-01-01 00:00:00+00:00,1,,
B,B258,L,29.00,old,2012-11-27 00:00:00+00:00,1970-01-01 00:00:00+00:00,Personal Care: Bottles Soap Gel<CMA> etc.,1970-01-01 00:00:00+00:00,1,,
B,B259,L,19.00,old,2012-11-27 00:00:00+00:00,1970-01-01 00:00:00+00:00,Adult Diapers,1970-01-01 00:00:00+00:00,1,,
B,B260,L,19.00,old,2012-11-27 00:00:00+00:00,1970-01-01 00:00:00+00:00,Disposable Underpads,1970-01-01 00:00:00+00:00,1,,
B,B261,L,21.00,old,2012-11-27 00:00:00+00:00,1970-01-01 00:00:00+00:00,Adult Diapers 6 pkgs. (4 sm.; 2 lg.),1970-01-01 00:00:00+00:00,1,,
B,B263,L,24.00,old,2012-12-03 00:00:00+00:00,1970-01-01 00:00:00+00:00,Adult Diapers,1970-01-01 00:00:00+00:00,1,,
B,B264,L,29.50,old,2012-12-03 00:00:00+00:00,1970-01-01 00:00:00+00:00,Personal Care: Bodywash<CMA> Mouthwash<CMA> etc.,1970-01-01 00:00:00+00:00,1,,
B,B265,L,28.00,old,2012-12-06 00:00:00+00:00,2014-04-01 00:00:00+00:00,Personal Care: Wipes<CMA> Shampoo<CMA> Oral Care<CMA> Denture Cups<CMA> Drinking Cups,1970-01-01 00:00:00+00:00,1,,
B,B266,L,18.50,old,2012-12-14 00:00:00+00:00,1970-01-01 00:00:00+00:00,Underpads Chux,1970-01-01 00:00:00+00:00,1,,
B,B267,L,20.50,old,2012-12-14 00:00:00+00:00,1970-01-01 00:00:00+00:00,Underpads Paper,1970-01-01 00:00:00+00:00,1,,
B,B269,L,20.50,old,2013-01-04 00:00:00+00:00,1970-01-01 00:00:00+00:00,Adult Diapers,1970-01-01 00:00:00+00:00,1,,
B,B270,L,28.50,old,2013-01-07 00:00:00+00:00,1970-01-01 00:00:00+00:00,Personal Care: Denture Cups<CMA> Lotion<CMA> Tissues<CMA> Oral Care<CMA> Shampoo<CMA> etc.,1970-01-01 00:00:00+00:00,1,,
B,B271,L,24.00,old,2013-01-07 00:00:00+00:00,2014-05-01 00:00:00+00:00,Personal Care,1970-01-01 00:00:00+00:00,1,,
B,B272,L,20.00,old,2013-01-07 00:00:00+00:00,1970-01-01 00:00:00+00:00,Adult Diapers,1970-01-01 00:00:00+00:00,1,,
B,B273,L,19.50,old,2013-01-11 00:00:00+00:00,1970-01-01 00:00:00+00:00,Underpads/Chux x87,1970-01-01 00:00:00+00:00,1,,
B,B274,L,19.00,old,2013-01-18 00:00:00+00:00,1970-01-01 00:00:00+00:00,Adult Diapers,1970-01-01 00:00:00+00:00,1,,
B,B275,L,16.00,old,2013-01-28 00:00:00+00:00,1970-01-01 00:00:00+00:00,Underpads,1970-01-01 00:00:00+00:00,1,,
B,B276,L,17.50,old,2013-01-28 00:00:00+00:00,1970-01-01 00:00:00+00:00,Adult Diapers,1970-01-01 00:00:00+00:00,1,,
B,B277,L,18.00,old,2013-01-28 00:00:00+00:00,1970-01-01 00:00:00+00:00,Underpads/Chux Disposable x121,1970-01-01 00:00:00+00:00,1,,
B,B278,L,22.50,old,2013-01-28 00:00:00+00:00,1970-01-01 00:00:00+00:00,Adult Diapers,1970-01-01 00:00:00+00:00,1,,
