Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
N224,S - 19.0 lbs.,Cast Material: Unna Boot; Gelocast; Webril,No EXP,12/3/2012,Anastasiya,,
N225,L - 23.5 lbs.,61 Tan Stockinettes; 39 Impervious,No EXP,12/6/2012,Anastasiya,,
N227,S - 19.0 lbs.,Cast Padding x40 Rolls,No EXP,1/18/2013,Anastasiya,,
N228,S - 34.0 lbs.,Casting Supplies: 10 Rolls Cast Padding; 1 Roll Undercast; 6 Packs Plaster of Paris Splints,No EXP,1/18/2013,Anastasiya,,
N229,L - 26.0 lbs.,Cast Padding,No EXP,2/11/2013,Anastasiya,,
N230,L - 20.8 lbs.,"Casting Material 4"" & 6""",4/2016,6/3/2013,Anastasiya,,
N232,L - 20.2 lbs.,"Convatec 1-3/4"" Ostomy Supplies",No EXP,7/11/2013,,,
N233,L - 9.4 lbs.,"Q-Tips (Unsterile): 6"" x7000",No EXP,7/12/2013,,,
N234,L - 24.4 lbs.,Tan Stockinettes (Unsterile): Tan Roll; Gray Roll; Rolled Packs; Tubigrip x3 Rolls,No EXP,8/7/2013,Anastasiya,,
N235,L - 18.2 lbs.,Cast Padding (Unsterile) x246 Rolls,No EXP,9/27/2013,Anastasiya,,
N237,S - 17.8 lbs.,Casting Tape and Padding,2/2016,11/25/2013,Anastasiya,,
N238,L - 17.0 lbs.,"Tan Stockinettes: 8 5"" Rolls",No EXP,1/28/2014,Anastasiya,,
N239,L - 19.8 lbs.,"Tan Stockinettes: 8 5"" Rolls",No EXP,1/28/2014,Anastasiya,,
N240,L - 22.8 lbs.,Tan Stockinettes (Unsterile),No EXP,2/17/2014,Anastasiya,,
N241,L - 20.4 lbs.,Orthopedic Mix: Cast Padding; Cast Protectors,No EXP,3/27/2014,Anastasiya,,
N242,L - 26.4 lbs.,Orthopedic Mix: Finger Splints; K-Wire; K-Wire Tractor; Arthroscopy Tubing; Etc.,1/2015,3/31/2014,Anastasiya,,
N243,S - 18.4 lbs.,Orthopedic Mix; Casting Tape,No EXP,4/24/2014,Anastasiya,,
N244,S - 19.0 lbs.,Casting Tape,No EXP,4/24/2014,Anastasiya,,
N245,S - 30.6 lbs.,Orthopedic Mix: Casting Material; Unna Boots,8/2016,4/24/2014,Anastasiya,,
N246,L - 13.8 lbs.,Orthopedic Mix: Braces (Arm & Leg); Slings; Foam,No EXP,4/24/2014,Anastasiya,,
N247,L - 16.6 lbs.,Orthopedic Mix: Traction; Splints; Slings,1/2017,4/24/2014,Anastasiya,,
N248,L - 7.6 lbs.,Orthopedic Mix: Cast Padding; Splints,6/2015,4/24/2014,Anastasiya,,
