Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
W163,L - 8.0 lbs.,Foam Sponges ,No EXP,1/11/2013,,,
W165,S - 16.5 lbs.,23 Magnetic Instrument Pads,No EXP,1/18/2013,,,
W166,L - 14.5 lbs.,"OR Supplies: Yankauers, Suction Tubing, Bowls, etc.",2/2015,2/7/2013,Anastasiya,,
W167,L - 5.5 lbs.,Foam Sponges ,No EXP,2/18/2013,,,
W168,L - 24.5 lbs.,Misc. OR Supplies (Sterile): Marking Pens x32; Towel Drapes x150; Suction Tubing x30; Stockinettes (4x48) x11,11/2015,3/1/2013,Anastasiya,,
W170,L - 20.0 lbs.,Sterile Surgical Packs: Plastic Flap Cyst.,10/2014,3/15/2013,,3rd Sort,
W172,L - 10.5 lbs.,Surgical Patties and Tonsil Ball Sponges,2/2016,3/26/2013,,,
W173,L - 16.0 lbs.,86 Impervious Stockinettes,No EXP,4/26/2013,Anastasiya,,
W174,S - 16.6 lbs.,Magnetic Instrument Pads (Unsterile),No EXP,6/3/2013,,,
W175,L - 6.0 lbs.,Foam Sponges; Immobilizers,No EXP,7/11/2013,Anastasiya,,
W176,S - 19.6 lbs.,Magnetic Instrument Pads (Unsterile) x30,No EXP,7/12/2013,,,
W177,L - 22.4 lbs.,Suction Tubing (Sterile),No EXP,8/29/2013,Abshiro,,
W178,L - 6.0 lbs.,Foam Sponges ,No EXP,9/10/2013,,,
W179,L - 23.4 lbs.,Skin Prep: Sterile x112; Unsterile x237,06/2015,9/16/2013,,,
W180,S - 8.6 lbs.,Sterile Yankauers x250,No EXP,9/30/2013,Abshiro,,
W182,L - 21.4 lbs.,Impervious Stockinettes (Unsterile) x91,No EXP,10/28/2013,Anastasiya,,
W183,L - 21.0 lbs.,Misc. OR Sterile Towels x350,No EXP,11/19/2013,Anastasiya,,
W184,S - 18.0 lbs. ,Sterilization Pouches x2000,No EXP,11/19/2013,,,
W185,S - 8.0 lbs.,OR Sterile Suction Ties x200,No EXP,11/22/2013,Abshiro,,
W186,S - 10.2 lbs.,Skin Prep: Unsterile ChloraPrep,1/2016,1/28/2014,,,
W187,S - 6.8 lbs.,Skin Prep: Sterile ChloraPrep x78,12/2015,1/28/2014,,,
W188,L - 21.6 lbs.,OR Sterile Suction Tips x95; Suction Tubing x65,01/2016,2/17/2014,Abshiro,,
W189,L - 5.4 lbs.,Foam Sponges,No EXP,3/13/2014,,,
W190,L - 18.6 lbs.,Neurology: LP Trays; Nerve Stimulators; Cranial Access Kits; Scalp Clips,9/2015,3/27/2014,,,
W191,L - 32.0 lbs.,Misc. OR Supplies (Sterile),1/2015,4/12/2014,Anastasiya,,
W192,L - 27.0 lbs.,Skin Prep,1/2015,4/12/2014,Anastasiya,,
W193,L - 32.4 lbs.,Steri-Drapes/Ioban,7/2015,4/12/2014,,,
W194,L - 19.4 lbs.,Surgical Packs (Sterile): Vascular Angio x1; Nasal x1; DHS x1; Laparoscopy/Pelviscopy II x1,7/2015,4/24/2014,,,
W195,L - 22.8 lbs.,Impervious Stockinettes (Unsterile) x98,No EXP,5/7/2014,,,
W196,S - 12.2 lbs.,Misc. OR Supplies (Sterile): 600 Medi-Loop (Vessel-Loops),No EXP,5/7/2014,,,
W197,L - 5.0 lbs.,Foam Sponges,No EXP,5/7/2014,,,
W198,L - 19.6 lbs.,OR Suction Supplies (Sterile): Suction Tubing x37; Suction Tips x116,No EXP,5/7/2014,,,
W199,S - 10.4 lbs.,Misc. OR Supplies (Sterile): Sterile Towels x146,4/2017,5/7/2014,,,
W200,S - 6.6 lbs.,Misc. OR Supplies (Sterile): Bowls; Stockinettes; Marking Pens; Needle Boxes; Vessel Loops; Steri-Drapes,10/2016,5/7/2014,,,
W201,S - 19.2 lbs.,Magnetic Instrument Pads (Unsterile) x27,No EXP,5/18/2014,,,
W202,S - 19.0 lbs.,Magnetic Instrument Pads (Unsterile) x27,No EXP,5/18/2014,,,
