Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
R238,L - 17.0 lbs.,Tracheostomy Tubes Assorted,2/2015,10/12/2012,,,
R241,L - 9.0 lbs.,Tracheostomy Care Kits x55,9/2015,10/12/2012,Polyclinique,Polyclinique,
R242,L - 10.0 lbs.,Tracheostomy Supplies,6/2015,10/12/2012,Polyclinique,Polyclinique,
-----
R246,L - 10.0 lbs.,"Anesthesia Head Rests 7"" w/ Intubation Slot x15 ",No EXP,10/31/2012,Anastasiya,,
R247,L - 14.5 lbs.,Ventilators (9); Smoke Evacuator (24); Tubing ,No EXP,10/31/2012,,,
R248,L - 11.5 lbs.,Anesthesia Mix: Head Rest Pillows (8); EKG Electrodes; Foam Wraps (120); Pudendal Block Trays (7) ,No EXP,11/2/2012,Anastasiya,,
R249,L - 11.5 lbs.,Tubing: Ventilator/Corrugated,No EXP,11/19/2012,,,
R250,L - 13.0 lbs.,Anesthesia: Endotracheal Tubes x92; LMA x9; Stylettes x15,2/2017,11/19/2012,Anastasiya,,
R250,L - 13.0 lbs.,Anesthesia: Endotracheal Tubes x110; Stylettes x10,2/2017,11/19/2012,Anastasiya,,
R251,L - 12.0 lbs.,Anesthesia Masks x18; Breathing Circuits x18,No EXP,11/27/2012,Anastasiya,,
R252,L - 17.0 lbs.,19 Respiratory Adult Ventilatory Circuit Tubing,No EXP,11/27/2012,,,
R253,S - 33.5 lbs.,"Esmark (Sterile) 6""x19 - 4""x23 & (Unsterile) 4""x61",No EXP,12/6/2012,,,
R254,S - 29.5 lbs.,"Esmark (Unsterile) 6""x45 - 4""x24",No EXP,12/6/2012,,,
R256,L - 15.0 lbs.,20   Ventilator Tubing,No EXP,12/6/2012,,,
R258,L - 14.0 lbs.,12 Anesthesia Mix (Unsterile),No EXP,12/27/2012,Anastasiya,,
R259,L - 12.5 lbs.,"102 Endotracheal Tubes, 11 LMAs, 20 Airways (Sterile & Unsterile)",2/2017,12/27/2012,,,
R260,L - 12.0 lbs.,Ventilator Tubing x14 (Unsterile),No EXP,1/4/2013,,,
R261,L - 13.0 lbs.,"Anesthesia Masks x104, Circuits x3 (Unsterile)",No EXP,1/4/2013,Anastasiya,,
R263,L - 12.5 lbs.,Anesthesia Mix,6/2016,1/8/2013,Anastasiya,,
R264,L - 9.0 lbs.,Blue Corrugated Respiratory Tubing,No EXP,1/11/2013,Anastasiya,,
R265,L - 21.0 lbs.,Anesthesia Breathing Circuit (Unsterile),No EXP,1/11/2013,Anastasiya,,
R266,L - 10.0 lbs.,Tubing Corrugated,No EXP,1/18/2013,Anastasiya,,
R268,L - 19.0 lbs.,Anesthesia Circuits/Bags x22,No EXP,2/6/2013,Anastasiya,,
R270,L - 14.0 lbs.,"Anesthesia Mix: Circuit Tubing, Positioning Devices",5/2015,2/7/2013,Anastasiya,,
R271,L - 13.0 lbs.,Blue Corrugated Tubing (Unsterile),No EXP,2/11/2013,Anastasiya,,
R272,L - 19.5 lbs.,Anesthesia Mix,5/2015,2/11/2013,Anastasiya,,
R273,L - 11.5 lbs.,Anesthesia Breathing Circuits x16,5/2015,2/20/2013,Anastasiya,,
R274,L - 13.5 lbs.,Anesthesia Circuits x16; Headrests x2,No EXP,2/27/2013,Anastasiya,,
R275,L - 14.5 lbs.,Anesthesia Mix,No EXP,2/27/2013,Anastasiya,,
R278,L - 14.0 lbs.,Endotracheal Tubes; LMAs x153; Stylettes x12,12/2015,3/26/2013,Anastasiya,,
R279,L - 18.4 lbs.,Anesthesia Mix,No EXP,4/26/2013,Anastasiya,,
R280,L - 12.2 lbs.,Anesthesia Masks & Circuits,No EXP,5/13/2013,Anastasiya,,
R281,S - 5.6 lbs.,"Endotracheal Tubes, LMAs, & Stylettes x65",No EXP,6/3/2013,Anastasiya,,
R282,S - 7.0 lbs.,"Endotracheal Tubes, LMAs, & Stylettes x65",No EXP,6/3/2013,Anastasiya,,
R283,L - 17.2 lbs.,"Anesthesia Mix: Headrests; Masks, Arterial Blood Sampling",8/2015,6/3/2013,Anastasiya,,
R284,L - 11.4 lbs.,Ventilator Tubing: Blue Corrugated,No EXP,6/12/2013,,,
R285,S - 5.2 lbs.,Endotracheal tubes x 62 (6.5 - 7.5),11/2017,8/29/2013,,,
R286,S - 3.6 lbs.,"Endotracheal tubes: Pediatric x 58, LMAs x 17",01/2016,8/29/2013,Anastasiya,,
R287,S - 5.8 lbs.,"Endotracheal tubes: Adult x 61, LMAs x 2",02/2017,8/29/2013,,,
R288,L - 15.0 lbs.,"Endotracheal tubes, LMAs, stylettes, peds and adult",No EXP,9/10/2013,Anastasiya,,
R289,L - 8.8 lbs.,Ventilator Tubing (Corrugated),No EXP,9/27/2013,,,
R290,L - 10.8 lbs.,Ventilator Tubing (Corrugated),No EXP,9/27/2013,,,
R291,L - 15.0 lbs.,Anesthesia Circuits; Masks,No EXP,9/27/2013,Anastasiya,,
R292,L - 1.4 lbs.,Anesthesia Head Rests x10,No EXP,9/27/2013,Anastasiya,,
R293,S - 6.8 lbs.,Nasal Oral Tracheal Tubes x70 Buffed,No EXP,11/22/2013,,,
R294,S - 5.4 lbs.,Endotracheal Tubes: Cuffed & Uncuffed; LMAs,5/2015,12/16/2013,Anastasiya,,
R295,L - 16.0 lbs.,Anesthesia Mix: Headrest; Sensors; Blood Pressure Bags,8/2015,12/16/2013,Anastasiya,,
R296,L - 13.2 lbs.,Anesthesia Circuits: 19 Adult,No EXP,1/28/2014,Anastasiya,,
R297,S - 6.4 lbs.,Endotracheal Tubes (Sterile and Unsterile): 5.0 x10; 6.0 x3; 6.5 x3; 7.0 x27; 7.5 x21; 8.0 x1; 9.0 x1; Portex Tracheal Tubes x8,10/2016,1/28/2014,,,
R298,S - 34.6 lbs.,"Esmark (Unsterile): 4"" and 6"" x95",No EXP,2/10/2014,Fairland,,
R300,S - 9.0 lbs.,Zimmer Disposable Cuffs: Sizes 12 to 24 x14,5/2015,2/17/2014,Anastasiya,,
R301,S - 7.2 lbs.,Endotracheal Tubes: 7.0 x52; 7.5 x38,2/2017,2/17/2014,,,
R302,S - 5.6 lbs.,Endotracheal Tubes x60; LMAs x21; Stylettes x7; ETADs x2,4/2015,2/17/2014,Anastasiya,,
R303,L - 10.8 lbs.,12 Adult Ventilator Circuits,No EXP,3/4/2014,,,
R304,S - 6.6 lbs.,Endotracheal Tubes: 3.0 x15; 3.5 x7; 4.0 x3; 5.5 x21; 6.0 x5; 7.0 x26; 7.5 x14; 8.0 x7; 8.5 x5,6/2015,3/13/2014,Anastasiya,,
R305,L - 14.6 lbs.,"Endotracheal Tubes, Sizes 3.5 to 8; LMAs, Sizes 2 to 5; Intubation Stylettes",4/2016,3/13/2014,Polyclinique,Polyclinique,
R306,L - 12.4 lbs.,Anesthesia Mix: Head Rest Pillows; Arterial Blood Sampling Kits; Etc.,2/2015,3/31/2014,Anastasiya,,
R307,L - 12.6 lbs.,Anesthesia Mix: Corrugated Tubing; Head Rests; SpO2 Sensors; Circuits,4/2015,3/31/2014,Polyclinique,Polyclinique,
R308,S - 7.8 lbs.,"Zimmer Disposable Tourniquet Cuffs (Sterile): 12"" x1; 18"" x19; 34"" x4",12/2015,3/31/2014,Anastasiya,,
R309,L - 12.0 lbs.,Anesthesia Mix: Corrugated Tubing; Head Rests; SpO2 Sensors; Arterial Blood Sampling Kits,5/2015,3/31/2014,Polyclinique,Polyclinique,
R310,L - 11.0 lbs.,Anesthesia Mix: Head Rests; SaO2 & EKG Pads; Arterial Pressure Tubing,1/2015,3/31/2014,Anastasiya,,
R311,L - 27.0 lbs.,Anesthesia Mix,1/2015,4/15/2014,Anastasiya,,
R312,L - 12.6 lbs.,Anesthesia Mix: Arterial Pressure Tube; Epidural Caths; SpO2 Sensors; Arterial Blood Smapling Kits; Anesthesia Kits,4/2016,4/24/2014,Anastasiya,,
R313,L - 9.6 lbs.,Ventilator Tubing: Ventilator Tubing; Interconnective Tubing,No EXP,5/7/2014,,,
R314,L - 9.8 lbs.,Ventilator Tubing: Ventilator Tubing x10; Interconnective Tubing x8,No EXP,5/7/2014,,,
R315,L - 16.2 lbs.,Endotracheal Tubes; LMAs,6/2016,5/7/2014,,,
