Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
L492,L - 26.6 lbs.,Chest Drains: 1 Drain; 60 Drain Tubing,4/2015,3/4/2014,,,
L493,L - 26.8 lbs.,Chest Drains: 2 Drains; 50 Drain Tubing,11/2016,3/4/2014,,,
L494,L - 26.6 lbs.,Chest Drains: 2 Drains; 50 Drain Tubing,12/2015,3/4/2014,,,
L495,L - 13.2 lbs.,Suction Catheters & Kits,6/2016,3/13/2014,,,
L496,L - 11.6 lbs.,Suction Canisters,No EXP,3/27/2014,,,
L497,L - 27.8 lbs.,Suction Tubing x92,11/2017,3/27/2014,Fairland,,
L498,L - 20.4 lbs.,Drains: 63 Bile Bags; 7 Surgical Drain Systems; 24 T-Tubing; 7 Penrose Drains; 20 Hubless Flat Tubing; 3 Channel Drains; 29 Rubber Shod Drains; 45 Drainage Bags with T-Adaptor; 88 Argyle Connectors; 5 Effluent Sample Bags; 5 Wound Pouches,1/2015,3/31/2014,,,
L499,L - 20.4 lbs.,Bulb Syringes: Sterile x130; Unsterile x20,9/2016,4/12/2014,,,
L500,L - 19.8 lbs.,Jackson-Pratt Drains: 7 Fr. x70; Assorted Sizes x50,5/2015,4/24/2014,,,
L501,L - 17.8 lbs.,Jackson-Pratt Drains: Bulbs x50; Reservoirs x10,11/2015,4/24/2014,,,
L502,L - 28.8 lbs.,Bulb Syringes: Unsterile Syringes x180; Aspirators x40,No EXP,4/28/2014,,,
L503,L - 22.8 lbs.,Chest Drains: Atrium Drains x2; Chest Tube Trays; Chest Tubes x5; PleurX Drains; PleurX Lines; PleurX Valve Caps,8/2015,5/7/2014,,,
