Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
C412,L - 17.0 lbs.,15 Urinary Catheterization Trays,10/2014,10/1/2012,Polyclinique,3rd Sort,
C413,L - 29.0 lbs.,Urinary Drainage Bags,No EXP,10/5/2012,Polyclinique,,
C414,L - 30.5 lbs.,Urinary Drainage Bags,No EXP,10/5/2012,Polyclinique,,
C415,L - 16.5 lbs.,Urinary Catheter Trays and Kits x21,No EXP,10/8/2012,Polyclinique,,
C416,L - 23.5 lbs.,Urinary Drainage Bags,No EXP,10/8/2012,Polyclinique,,
C417,L - 20.0 lbs.,Immobilizers: 12 Boot; 2 Cervical; 2 Slings; 1 Wrist; 1 Knee,No EXP,10/17/2012,Anastasiya,,
C418,L - 16.0 lbs.,Misc. Urinary,12/2014,10/17/2012,Lotus Victory,3rd Sort,
C419,L - 18.5 lbs.,Misc. Urinary,12/2014,10/17/2012,Lotus Victory,3rd Sort,
C420,L - 13.5 lbs.,Urinary Supplies,No EXP,10/18/2012,Polyclinique,,
C421,L - 9.5 lbs.,Foam Positioners: Assorted,No EXP,10/18/2012,Lotus Victory,,
-----
C422,S - 12.5 lbs.,"Exam Table Paper: 11 Rolls (14.5""x125' )",No EXP,10/21/2012,Lotus Victory,,
C424,S - 15.0 lbs.,"Diabetic Lancets x10,000 (Unsterile)",No EXP,10/21/2012,Anastasiya,,
C425,S - 19.0 lbs.,Diabetic Glcometers x50 (Unsterile),No EXP,10/21/2012,Anastasiya,,
C426,L - 6.0 lbs.,Foam ,No EXP,10/24/2012,Lotus Victory,,
C427,S - 16.5 lbs.,55  Glucometers (No Test Strips),No EXP,10/25/2012,Anastasiya,,
C430,L - 18.0 lbs.,Immobilizers: 6 Foot; 5 Neck; 4 Knee; 5 Wrist; 1 Heel; Arm Sling,No EXP,10/31/2012,Anastasiya,,
C431,L - 12.0 lbs.,Immobilizers: Shoulder (2); Wrist/Arm (5); Collar (1); Knee (3); Foot (2); Hand (1) ,No EXP,10/31/2012,Anastasiya,,
C432,L - 12.5 lbs.,"Immobilizers: Knee braces (4); Shoulder Stabilizer (1); ""Ultra sling"" (1); Heel Protector (1); Abdominal Bands (2)",No EXP,10/31/2012,Anastasiya,,
C433,S - 8.0 lbs.,Patient Care: 7 Hipster Pads; 9 Abdominal Bands,No EXP,11/2/2012,Lotus Victory,,
C435,L - 16.0 lbs.,Immobilizers: Knee (5); Ankle (1); Shoulder (1); Wrist (1) ,No EXP,11/7/2012,Anastasiya,,
C436,L - 10.0 lbs.,Immobilizers: 7 Shoulder; 4 Traction,No EXP,11/8/2012,Anastasiya,,
C437,L - 16.0 lbs.,Immobilizers: 7 Foot; 4 Knee; 6 Shoulder,No EXP,11/19/2012,Anastasiya,,
C438,L - 14.0 lbs.,Immobilizers: 2 Knee; 2 Helmet; 9 Slings; 4 Shoulder; 5 Ankle,No EXP,11/20/2012,Anastasiya,,
C439,L - 5.5 lbs.,4 Foot Pressure Relief; 1 Arm Immobilizer,No EXP,11/26/2012,Anastasiya,,
C441,S - 13.5 lbs.,14 BP Cuffs,No EXP,12/3/2012 (Updated 12/19/2012),Polyclinique,,
C443,S - 12.5 lbs.,14 BP Cuffs,No EXP,12/3/2012 (Updated 12/19/2012),Anastasiya,,
C444,L - 19.5 lbs.,Immobilizers: 6 Foot; 3 Knee; 3 Arm; 2 Colla; 3 Wrist; 1 Ankle,No EXP,12/3/2012,Anastasiya,,
C445,L - 26.5 lbs.,Patient Care: Med. Cups; Hipsters; Vests; etc.,No EXP,12/3/2012,Lotus Victory,,
C446,L - 9.0 lbs.,Foam: Assorted Sizes,No EXP,12/3/2012,Lotus Victory,,
C447,L - 8.0 lbs.,30 Positioning Heel Pads; 2 Pillows,No EXP,12/3/2012,Lotus Victory,,
C450,S - 14.0 lbs.,Air Mattress w/ Pump,No EXP,12/6/2012,Lotus Victory,,
C451,L - 20.0 lbs.,Immobilizers: Post OP Shoe x16; Sling x5; Knee x1; Shoulder x2,No EXP,12/14/2012,Anastasiya,,
C452,L - 15.0 lbs.,Immobilizers: 3 Foot; 3 Knee; 5 Arm/Shoulder; 6 Cervical Collar,No EXP,1/4/2013,Anastasiya,,
C454,L - 17.0 lbs.,Immobilizers: 8 Foot; 8 Walking Boot; 1 Shoulder; 15 Arm; 1 Cervical,No EXP,1/4/2013,Anastasiya,,
C455,L - 7.0 lbs.,4 Bed Pillows,No EXP,1/8/2013,Polyclinique,,
C456,L - 7.5 lbs.,4 Bed Pillows,No EXP,1/8/2013,Polyclinique,,
C457,L - 21.0 lbs.,Immobilizers: 8 Shoulder; 6 Wrist; 4 Slings; Post-OP Shoe,No EXP,1/8/2013,Anastasiya,,
C458,L - 31.0 lbs.,Lab Supplies: Pipets; Slides,No EXP,1/11/2013,Lotus Victory,,
C459,S - 13.0 lbs.,Alternating Pressure Mattress w/ Pump,No EXP,1/11/2013,Lotus Victory,,
C460,L - 18.5 lbs.,Immobilizers: 4 Shoulder; 4 Cervical; 2 Shoe; 5 Slings; 2 Knee; 5 Abdominal; 3 Wrist,No EXP,1/11/2013,Anastasiya,,
C461,L - 17.0 lbs.,Immobilizers: 1 Shoulder; 5 Neck; 6 Boot; 3 Back; 5 Arm; 2 Elbow; 4 Abdominal,No EXP,1/16/2013,Anastasiya,,
C462,L - 8.0 lbs.,4 Bed Pillows,No EXP,1/16/2013,Polyclinique,,
C463,L - 8.0 lbs.,5 Bed Pillows,No EXP,1/16/2013,Polyclinique,,
C464,L - 7.5 lbs.,4 Bed Pillows,No EXP,1/16/2013,Polyclinique,,
C467,L - 13.0 lbs.,16 Sitz Baths,No EXP,1/28/2013,Lotus Victory,,
C468,L - 8.0 lbs.,Patient Care: Lambs Wool,No EXP,2/6/2013,Lotus Victory,,
C470,S - 6.0 lbs.,Patient Care: 10 Hip Protectors,No EXP,2/7/2013,Lotus Victory,,
C471,S - 8.0 lbs.,Patient Care: Lymphodema Gloves; Abd. Binders,No EXP,2/7/2013,Lotus Victory,,
C472,S - 15.8 lbs.,Patient Care: Gait Belts; Roll Belts; Hipsters,No EXP,2/7/2013,Lotus Victory,,
C473,S - 6.0 lbs.,Patient Care: Elbow/Heel Protectors,No EXP,2/7/2013,Lotus Victory,,
C474,L - 13.0 lbs.,Immobilizers: Cervical Collars; Arm Slings,No EXP,2/7/2013,Anastasiya,,
C475,S - 12.5 lbs.,11 BP Cuffs; 10 Stethoscopes,No EXP,2/7/2013,Lotus Victory,,
C476,L - 26.0 lbs.,Patient Care: Gait Belts; Sitz Baths; Back Supports,10/2014,2/11/2013,Lotus Victory,3rd Sort,
C477,L - 4.0 lbs.,Foam Arm Board Covers,No EXP,2/18/2013,Lotus Victory,,
C478,L - 28.0 lbs.,Immobilizers: Knee; Ankle; Shoulder,No EXP,2/20/2013,Anastasiya,,
C479,S - 9.0 lbs.,Lancets,5/2015,2/20/2013,Anastasiya,,
C481,L - 16.0 lbs.,Immobilizers: 2 Knee; 10 Elbow; 1 Back; 7 Sling; 2 Ankle; 3 Thumb; 3 Finger; 6 Wrist,No EXP,2/27/2013,Anastasiya,,
C482,L - 20.0 lbs.,20 Patient Warming Gowns,No EXP,3/5/2013,Lotus Victory,,
C484,L - 6.0 lbs.,Positioning Devices: Knee Pillows; Elbow/Heel,No EXP,3/15/2013,Anastasiya,,
C485,L - 13.5 lbs.,Immobilizers: 4 Foot; 1 Collar; 1 Back; 2 Sling,No EXP,3/26/2013,Anastasiya,,
C486,L - 12.5 lbs.,Immobilizers: 1 Foot; 5 Collar; 2 Leg; 1 Back; 1 Sling; 5 Elbow,No EXP,3/26/2013,Anastasiya,,
C487,S - 10.0 lbs.,Patient Care: Alternating Pressure Mattresses x2,No EXP,4/1/2013,Lotus Victory,,
C488,S - 10.0 lbs.,Patient Care: Alternating Pressure Mattresses x2,No EXP,4/1/2013,Lotus Victory,,
C489,S - 10.0 lbs.,Patient Care: Alternating Pressure Mattresses x2,No EXP,4/1/2013,Lotus Victory,,
C490,S - 10.0 lbs.,Patient Care: Alternating Pressure Mattresses x2,No EXP,4/1/2013,Lotus Victory,,
C491,S - 10.0 lbs.,Patient Care: Alternating Pressure Mattresses x2,No EXP,4/1/2013,Lotus Victory,,
C492,S - 10.0 lbs.,Patient Care: Alternating Pressure Mattresses x2,No EXP,4/1/2013,Lotus Victory,,
C494,S - 19.0 lbs.,Patient Care: Medicine Cups,No EXP,4/1/2013,Lotus Victory,,
C495,S - 20.0 lbs.,Patient Care: Medicine Cups,No EXP,4/1/2013,Lotus Victory,,
C497,L - 5.2 lbs.,Pillows x3,No EXP,4/10/2013,Polyclinique,,
C498,L - 16.0 lbs.,Patient Care: Seat Cushions; Elbow/Heel Protectors; Orthotic Arch Supports,No EXP,4/10/2013,Lotus Victory,,
C499,L - 21.0 lbs.,Disposable BP Cuffs (Only),No EXP,4/12/2013,,,
C500,L - 11.5 lbs.,Immobilizers: Cervical Collars; Shoulder; Wrist,No EXP,4/26/2013,Anastasiya,,
C501,L - 21.6 lbs.,Immobilizers: 13 Cast Boots; 2 Ankle; 4 Wrist,No EXP,4/26/2013,Anastasiya,,
C502,L - 4.8 lbs.,7 Foam Pillows; 6 Elbow/Heel Protectors,No EXP,5/13/2013,Lotus Victory,,
C503,L - 6.0 lbs.,6 Foam Pillows; 12 Elbow/Heel Protectors,No EXP,5/13/2013,Lotus Victory,,
C505,L - 16.4 lbs.,Immobilizers: Wrist; Knee; Shoulder,No EXP,5/13/2013,Anastasiya,,
C506,L - 5.0 lbs.,Abduction Pillow; 3 Neck Pillows,No EXP,5/13/2013,Lotus Victory,,
C507,S - 5.8 lbs.,"Elbow/Heel, Hip Protectors",No EXP,5/13/2013,Lotus Victory,,
C508,L - 13.0 lbs.,Immobilizers: Shoulder; Cervical; Clavical,No EXP,6/3/2013,Anastasiya,,
C509,L - 20.8 lbs.,Patient Care: Abd. Binders; Leg Lifters; Bedside Bags; Sitz Bath; Gait Belt; Med Cups; Lamb's Wool,12/2017,6/7/2013,Lotus Victory,,
C510,S - 31.0 lbs.,XL Post-Mortem Shroud Packs,No EXP,7/12/2013,Lotus Victory,,
C511,S - 2.8 lbs.,Immobilizers: Cervical Collars,No EXP,8/7/2013,Anastasiya,,
C512,L - 12.4 lbs.,Immobilizers: Knee; Ankle; Cast Boots,No EXP,8/7/2013,Anastasiya,,
C513,L - 10.8 lbs.,"Elbow/Heel, Hip Protectors",No EXP,8/7/2013,Lotus Victory,,
C514,L - 12.0 lbs.,Immobilizers: Shoulder; Arm; Wrist,No EXP,8/7/2013,Anastasiya,,
C515,L - 5.0 lbs.,Patient Care: Foam,No EXP,8/29/2013,Lotus Victory,,
C516,L - 16.6 lbs.,Exam Table Paper x100,No EXP,8/29/2013,Lotus Victory,,
C517,L - 21.8 lbs.,Immobilizers: 6 Foot/Ankle; 3 Knee; 3 Wrist; 1 Back; 2 Collar,No EXP,9/10/2013,Anastasiya,,
C518,L - 20.8 lbs.,Immobilizers: 2 Knee; 14 Foot/Ankle; 3 Arm Slings,No EXP,9/10/2013,Anastasiya,,
C522,L - 23.6 lbs.,Patient Care: ABD Binders; Bedside Bags; Medicine Cups; Sitz Bath,No EXP,9/29/2013,Lotus Victory,,
C523,L - 22.6 lbs.,"Immobilizers: Knee, Ankle",No EXP,10/28/2013,Anastasiya,,
C524,L - 7.2 lbs.,Immobilizers: Cervical Collars,No EXP,10/28/2013,Anastasiya,,
C525,L - 11.8 lbs.,"Immobilizers: Wrist, Slings, Foam Supports",No EXP,10/28/2013,Anastasiya,,
C526,S - 15.0 lbs.,"Blood Pressure Cuffs: Adult 3 lg, 14 reg.",No EXP,11/22/2013,Polyclinique,,
C527,S - 15.0 lbs.,"Blood Pressure Cuffs: Adult 2 lg, 16 reg.",No EXP,11/22/2013,Polyclinique,,
C528,L - 15.4 lbs.,Positioning Devices: Heel/Elbow Protectors,No EXP,11/25/2013,Lotus Victory,,
C529,L - 12.6 lbs.,Immobilizers: All Types,No EXP,12/16/2013,Anastasiya,,
C530 ,L - 20.6 lbs.,Clean Bed Linens; 2 Pillows,No EXP,12/16/2013,Lotus Victory,,
C531,L - 19.0 lbs.,Immobilizers: All Types,No EXP,12/16/2013,Anastasiya,,
C532,L - 28.8 lbs.,Patient Care: Assorted Items,No EXP,1/14/2014,Lotus Victory,,
C533 ,L - 14.6 lbs.,Immobilizers: 16 Shoulder; 8 Sling; 7 Knee,No EXP,1/14/2014,Anastasiya,,
C534,L - 22.2 lbs.,Immobilizers: Fracture Boots & Air Casts: XS x8; Sm. x3; Lg. x1,No EXP,1/19/2014,Anastasiya,,
C535,L - 19.2 lbs.,Immobilizers: Fracture Boots & Air Casts: Sm. x1; Lg. x3; XL x3,No EXP,1/19/2014,Anastasiya,,
C536,L - 7.6 lbs.,Pillows x4,No EXP,1/19/2014,Lotus Victory,,
C537,L - 26.2 lbs.,Bed Linens: Sheets and Towels,No EXP,1/28/2014,Lotus Victory,,
C538,L - 20.2 lbs.,Posey Hipsters: 34 Med.; 3 XL,No EXP,1/30/2014,Lotus Victory,,
C539,L - 4.6 lbs.,Foam,No EXP,2/10/2014,Lotus Victory,,
C540,L - 16.6 lbs.,Bed Linens: Pillows; Pillowcases; Mattress Covers; Sheets,No EXP,2/10/2014,Lotus Victory,,
C541,L - 5.0 lbs.,Circular Foam Head Positioners x30,No EXP,3/13/2014,Lotus Victory,,
C542,L - 8.0 lbs.,Bed Linens: Decubiti Pads x8; Bed Pillow x1; Small Pillows x3,No EXP,3/13/2014,Lotus Victory,,
C543,L - 12.8 lbs.,Immobilizers: 8 Knee; 9 Arm Slings; 3 Cervical Collars,No EXP,3/13/2014,Anastasiya,,
C544,L - 5.2 lbs.,Circular Foam Head Positioners x31,No EXP,3/13/2014,Lotus Victory,,
C545,L - 5.2 lbs.,Circular Foam Head Positioners x31,No EXP,3/13/2014,Lotus Victory,,
C546,L - 5.2 lbs.,Circular Foam Head Positioners x31,No EXP,3/13/2014,Lotus Victory,,
C547,L - 18.0 lbs.,Bed Linens: Decubiti Pads x2; Small Pillows x4; Bath Blanket x1; Fitted Sheet x4; Pillowcases x4; Pillow x1; Flat Sheet x4,No EXP,3/13/2014,Lotus Victory,,
C548,L - 23.6 lbs.,Patient Care: Binders; Cleansing Bottles; Gait Belts,No EXP,3/13/2014,Lotus Victory,,
C549,L - 19.0 lbs.,Immobilizers: Wrist x46; Ankle x4; Knee x5; Shoulder x5; Cervical x2,No EXP,3/13/2014,Anastasiya,,
C550,L - 19.2 lbs.,Patient Care: Bladder Protection Briefs; Sitz Baths; Mega Mover x1; Hip Pads; Abdominal Binders; Athletic Supports,No EXP,3/13/2014,Lotus Victory,,
C551,L - 21.0 lbs.,Immobilizers: Knee; Ankle; Back,No EXP,3/26/2014,,,
C552,L - 13.2 lbs.,Immobilizers: 1 Cervical; 1 Shoulder; 5 Ankle Traction; 1 Wrist; 2 Slings; 2 Elbow; 2 Hipsters; 5 Heal Lifts; 3 Elbow/Arm,No EXP,3/26/2014,,,
C553,L - 39.2 lbs.,Blood Pressure Cuffs: All Sizes,No EXP,3/26/2014,,,
C554,L - 27.8 lbs.,Patient Care: Abdominal Binders; Bed Pans; Suture Bags; Edema Gloves; Barrier Cream Cloths; Medicine Cups; Heel Protectors; Etc.,12/2015,3/26/2014,,,
