Box Number,Box Size & Weight,Contents,Exp. Date,Date Entered,Reserved For,Shipped To,Date Shipped
U266,L - 30.0 lbs.,"Sheets (Plastic, Unsterile) x38",No EXP,1/28/2014,,,
U267,L - 26.8 lbs.,"Drapes (Unsterile, Large) x25",No EXP,1/28/2014,,,
U268,L - 26.8 lbs.,"Drapes (Unsterile, Large) x25",No EXP,1/28/2014,,,
U269,L - 15.0 lbs.,Autoclave Wraps x223,No EXP,1/28/2014,,,
U270,L - 25.8 lbs.,"Drapes (Unsterile, Large) x25",No EXP,1/28/2014,,,
U271,L - 24.0 lbs.,"Drapes (Unsterile, Large) x17",No EXP,1/28/2014,,,
U272,S - 14.4 lbs.,Tail Drapes (Unsterile) x37,No EXP,1/28/2014,,,
U273,S - 15.6 lbs.,Under Buttocks Drapes (Unsterile) x61,No EXP,1/28/2014,,,
U273,L - 23.4 lbs.,Drapes (Sterile): T-Drapes; Leggings x35; Split Drapes x2,No EXP,2/10/2014,,,
U274,L - 23.4 lbs.,Drapes (Sterile): T-Drapes x18,No EXP,2/10/2014,,,
U275,L - 29.6 lbs.,Drapes (Sterile): Lithotomy x8; Femoral Angiography x16,No EXP,2/10/2014,,,
U276,L - 17.4 lbs.,Drapes (Sterile): Large Misc. x15,No EXP,2/10/2014,Hope for Haiti,,
U277,L - 19.6 lbs.,Drapes (Sterile): Large Misc. x21,No EXP,2/10/2014,Hope for Haiti,,
U278,L - 20.4 lbs.,Drapes (Sterile): T-Drapes x17,No EXP,2/10/2014,,,
U279,S - 15.0 lbs.,Drapes (Sterile): Mayo Stand Covers x12; Under Buttocks Drapes x45,No EXP,2/10/2014,,,
U280 ,L - 23.6 lbs.,Drapes (Sterile): Shoulder x14,No EXP,2/10/2014,,,
U282,L - 24.6 lbs.,"Drapes (Unsterile, Large) x21",No EXP,2/17/2014,,,
U283,L - 24.8 lbs.,"Drapes (Unsterile, Large) x24",No EXP,2/17/2014,,,
U284,L - 21.8 lbs.,"Drapes (Unsterile, Large) x21",No EXP,2/17/2014,,,
U285,L - 24.6 lbs.,"Drapes (Unsterile, Large) x25",No EXP,2/17/2014,,,
U286,L - 15.8 lbs.,Drapes (Sterile): Large Fan Folded x35,No EXP,2/17/2014,CHI Haiti,,
U287,S - 9.2 lbs.,Quarter Drapes (Unsterile) x170,No EXP,2/26/2014,,,
U288,L - 34.2 lbs.,"Sheets (Unsterile, Plastic) x56",No EXP,3/4/2014,Polyclinique,Polyclinique,
U289,L - 23.4 lbs.,Autoclave Wraps x223,No EXP,3/4/2014,,,
U290,L - 27.8 lbs.,"Drapes (Unsterile, Large) x36",No EXP,3/4/2014,,,
U291,L - 28.4 lbs.,"Drapes (Unsterile, Large) x24",No EXP,3/4/2014,,,
U292,S - 16.6 lbs.,Mayo Stand Covers (Unsterile) x85,No EXP,3/4/2014,,,
U293,S - 14.2 lbs.,Mayo Stand Covers (Unsterile) x73,No EXP,3/4/2014,,,
U294,L - 21.2 lbs.,"Sheets (Unsterile, Paper) x65",No EXP,3/4/2014,Fairland,,
U295,L - 27.6 lbs.,"Drapes (Unsterile, Large) x29",No EXP,3/4/2014,,,
U296,L - 33.2 lbs.,"Sheets (Unsterile, Plastic) x53",No EXP,3/13/2014,Polyclinique,Polyclinique,
U297,L - 25.4 lbs.,"Drapes (Unsterile, Large) x21",No EXP,3/13/2014,,,
U298,L - 26.6 lbs.,"Drapes (Unsterile, Large) x21",No EXP,3/13/2014,,,
U299,L - 27.6 lbs.,"Drapes (Unsterile, Large) x29",No EXP,3/13/2014,,,
U300,L - 24.6 lbs.,"Drapes (Sterile): 14 Large, Misc. (Extremity, Craniotomy, and Pelvic)",5/2016,3/13/2014,,,
U301,L - 25.0 lbs.,"Drapes (Unsterile, Large) x22",No EXP,3/27/2014,,,
U302,L - 24.0 lbs.,"Drapes (Unsterile, Large) x24",No EXP,3/27/2014,,,
U303,S - 10.6 lbs.,"Drapes (Unsterile, Small)",No EXP,3/27/2014,,,
U304,L - 30.0 lbs.,Drapes (Sterile) and Sheets (Sterile),4/2015,4/12/2014,,,
U305,L - 14.8 lbs.,"Sheets (Paper, Unsterile)",No EXP,4/12/2014,,,
U306,L - 21.8 lbs.,"Drapes (Unsterile, Large)",No EXP,4/12/2014,,,
U307,L - 16.0 lbs.,"Drapes (Unsterile, Large)",No EXP,4/12/2014,,,
U308,L - 24.0 lbs.,"Drapes (Unsterile, Large)",No EXP,4/12/2014,Fairland,,
U309,L - 22.2 lbs.,"Autoclave Wraps: Large, Heavy Duty",No EXP,4/19/2014,,,
U310,L - 26.4 lbs.,"Drapes (Unsterile, Large) x29",No EXP,4/24/2014,,,
U311,L - 21.0 lbs.,"Sheets (Unsterile, Paper) x68",No EXP,5/4/2014,,,
U312,L - 16.0 lbs.,Autoclave Wraps x150,No EXP,5/4/2014,,,
U313,L - 30.8 lbs.,"Sheets (Unsterile, Plastic) x48",No EXP,5/4/2014,,,
U314,L - 26.2 lbs.,"Drapes (Unsterile, Large) x26",No EXP,5/7/2014,,,
U315,L - 24.4 lbs.,"Drapes (Unsterile, Large) x21",No EXP,5/7/2014,,,
U316,L - 26.4 lbs.,"Drapes (Unsterile, Large) x26",No EXP,5/7/2014,,,
U317,L - 25.8 lbs.,"Drapes (Unsterile, Large) x26",No EXP,5/7/2014,,,
